"isqno","attacker","nam","co","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","actors"
228,1,"GER 2ND ARMY","FRIEDRICK KARL","72000",1,"72000",0,"4000","68000",,0,0,0,324,0,0,0,0,"FF","EE","LF",,,,"BB","PS",,24,0,0,-15,7,"Germany"
229,0,"GER ARMY OF THE SOUTH","WERDER","40000",1,"40000",0,"2000","38000",4500,0,0,0,364,0,0,,0,"dd",,,,,"0",,,,33,0,10,-18,8,"Germany"
229,1,"FR ARMY OF THE EAST","BOURBAKI","110000",1,"110000",0,"8000","102000",9000,0,0,0,146,0,0,,0,"FF",,,,,,"RR","WD",,23,0,0,-50,3,"France"
23,0,"SCOT COV ARMY","BAILLIE","6800",1,"6800",0,"6000","800",800,0,0,0,0,0,0,0,0,"DD",,,,,"0","WL",,,0,-10,0,-2,2,"Parliamentarian"
23,1,"SCOT ROY ARMY","MONTROSE","4900",1,"4900",0,"6","4894",500,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,0,-8,200,0,9,"Royalist"
230,0,"BR 24TH REGT. (+)","PULLEINE","1800",1,"1800",0,"1445","355",450,0,0,0,2,0,0,2,0,"DD",,,,,"0","AA",,,15,0,15,0,3,"Great Britain"
230,1,"ZULU ARMY","MAVUMENGWANA & TSHINGWAYO","20000",1,"20000",0,"3000","17000",0,0,0,0,0,0,0,0,0,"DE",,,"FF",,,"BB","PS",,0,-50,25,-25,9,"Zulu"
231,0,"BR ARMY","CHELMSFORD","5317",1,"5317",0,"100","5217",899,0,0,0,12,0,0,0,0,"DO","FF",,,,"0","PS",,,0,-6,0,-21,8,"Great Britain"
231,1,"ZULU ARMY","CETEWAYO","20000",1,"20000",0,"1500","18500",0,0,0,0,0,0,0,0,0,"FF",,,,,,"RR","WD",,0,-25,25,-25,3,"Zulu"
232,0,"BR ARMY","COLLEY","350",1,"350",0,"284","66",0,0,0,0,0,0,0,0,0,"DO","FF",,,,"0","AA",,,85,0,0,-4,3,"Great Britain"
232,1,"BOER ARMY","SMIDT","1200",1,"1200",0,"6","1194",0,0,0,0,,0,0,0,0,"FF",,,,,,"BB",,,0,-50,1,-1,9,"South African Republic"
233,0,"EG ARMY","ARABI","20000",1,"20000",0,"2500","17500",,0,0,0,75,0,0,,0,"DD",,,,,"0","WD",,,50,0,50,0,3,"Egypt"
233,1,"BR ARMY","WOLSELEY","17401",1,"17401",0,"469","16932",2785,0,0,0,61,0,0,,0,"FF",,,,,,"PP","PS",,5,0,5,-5,9,"Great Britain"
234,0,"BR ARMY","KITCHENER","25800",1,"25800",0,"482","25318",,0,0,0,80,0,0,,0,"DO","FF",,,,"0","PS",,,5,-5,5,0,9,"Great Britain"
234,1,"MAHDISTS","ABDULLAHINI","55000",1,"55000",0,"30700","24300",,0,0,0,0,0,0,,0,"FF",,,"EE","RF",,"RR","WD",,0,-27,0,-19,4,"Mahdists"
235,0,"IT ARMY","BARATIERI","20251",1,"20251",0,"9678","10573",0,0,0,0,64,0,0,64,0,"DD",,,,,"0","WL",,,0,-5,0,-7,2,"Italy"
235,1,"ETH ARMY","MENELIK II","120000",1,"120000",0,"17000","103000",17000,0,0,0,42,0,0,0,0,"DE",,,"FF",,,"BB","PS",,0,-25,25,-25,9,"Ethiopia"
236,0,"BOER ARMY","CRONJE & DE LA REY","3500",1,"3500",0,"150","3350",0,0,0,0,9,0,0,0,0,"DD",,,,,"0","WD",,,100,0,0,-47,4,"South African Republic"
236,1,"BR ARMY","METHUEN","8000",1,"8000",0,"468","7532",0,0,0,0,16,0,0,0,0,"FF",,,,,,"RR",,,25,0,3,0,5,"Great Britain"
237,0,"BOER ARMY","CRONJE","9000",1,"9000",0,"236","8764",,0,0,0,,0,0,,0,"DD",,,,,"0",,,,0,-11,36,0,8,"South African Republic"
237,1,"BR ARMY","METHUEN","15000",1,"15000",0,"948","14052",,0,0,0,29,0,0,,0,"FF",,,,,,"RR","WD",,0,-13,14,0,3,"Great Britain"
238,0,"BOER ARMY","BOTHA","5500",1,"5500",0,"50","5450",500,0,0,0,,0,0,,0,"DD",,,,,"0",,,,9,-27,0,-40,8,"South African Republic"
238,1,"BR ARMY","BULLER","13411",1,"13411",0,"1126","12285",836,0,0,0,44,0,0,10,0,"FF",,,,,,"RR","WD",,34,0,1,0,2,"Great Britain"
239,0,"BOER ARMY","JOUBERT","5000",1,"5000",0,"335","4665",,0,0,0,10,0,0,0,0,"DD",,,,,"0",,,,0,-25,34,0,7,"South African Republic"
239,1,"BR ARMY","BULLER","24000",1,"24000",0,"1734","22266",,0,0,0,40,0,0,0,0,"FF",,,"EE","LF",,"PP","WD",,0,-25,0,-32,2,"Great Britain"
24,0,"ENG ROY ARMY","CHARLES I","10000",1,"10000",0,"500","9500",2000,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,0,-10,50,0,7,"Royalist"
24,1,"ENG PARL ARMY","MANCHESTER","22000",1,"22000",0,"500","21500",9500,0,0,0,,0,0,,0,"FF",,,"EE","LF",,"PP","RR",,0,-14,50,0,5,"Parliamentarian"
240,0,"BOER ARMY","CRONJE","4000",1,"4000",0,"350","3650",,0,0,0,6,0,0,0,0,"DD",,,,,"0",,,,25,0,43,0,5,"South African Republic"
240,1,"BR ARMY","ROBERTS","15000",1,"15000",0,"1270","13730",,0,0,0,32,0,0,0,0,"FF","DE",,,,,"RR",,,33,0,8,0,5,"Great Britain"
241,0,"SP ARMY","LINARES","1592",1,"1592",0,"850","742",,0,0,0,4,0,0,2,0,"DD",,,,,"0","WD",,,7,0,10,-10,4,"Spain"
241,1,"US V CORPS","SHAFTER","15065",1,"15065",0,"1572","13493",,0,0,0,38,0,0,0,0,"FF",,,,,,"PP",,,10,-10,10,-10,6,"USA"
242,0,"RUSS ARMY","ZASULICH","18000",1,"18000",0,"2500","15500",2000,0,0,0,48,0,0,21,0,"DD",,,,,"0","WD",,,0,-44,81,-12,2,"Russia"
242,1,"JAP 1ST ARMY","TAMEMOTO KUROKI","56000",1,"56000",0,"1110","54890",1800,0,0,0,132,0,0,0,0,"EE","LF","RC",,,,"BB","PS",,0,-29,0,-21,8,"Japan"
243,0,"RUSS ARMY","STAKELBERG","38000",3,,,"3800","34200",3000,0,0,0,94,0,0,16,0,"DD",,,,,"0","WD",,,0,-22,32,-8,2,"Russia"
243,1,"JAP 2ND ARMY","OKU","36000",1,"36000",0,"1200","34800",2000,0,0,0,108,0,0,0,0,"FF",,,"EE","RF",,"BB","PS",,11,0,0,-17,9,"Japan"
244,0,"RUSS ARMY GROUP","KUROPATKIN","150000",3,,,"16500","133500",15000,0,0,0,542,0,0,,0,"DO",,,,,"0","WD",,,0,-12,52,0,4,"Russia"
244,1,"JAP ARMY GROUP","OYAMA","135000",3,,,"17500","117500",5000,0,0,0,552,0,0,0,0,"FF",,,"DE",,,"PP","PS",,63,0,37,0,6,"Japan"
245,0,"JAP ARMY GROUP","OYAMA","145000",3,,,"17000","128000",7000,0,0,0,612,0,0,14,0,"DO",,,,,"0",,,,38,0,18,-7,5,"Japan"
245,1,"RUSS ARMY GROUP","KUROPATKIN","210000",3,,,"46000","164000",18000,0,0,0,928,0,0,45,0,"FF",,,,,,"SS",,,19,0,30,-7,4,"Russia"
246,0,"JAP ARMY GROUP","OYAMA","40000",1,"40000",0,"9400","30600",,0,0,0,,0,0,,0,"DO",,,,,"0","SS",,,15,-15,11,0,6,"Japan"
246,1,"RUSS ARMY","GRIPPENBERG","58000",1,"58000",0,"13000","45000",,0,0,0,350,0,0,,0,"FF",,,"EE","LF",,"RR","SS",,47,0,15,-23,5,"Russia"
247,0,"RUSS ARMY GROUP","KUROPATKIN","310000",3,,,"96500","213500",15000,0,0,0,1192,0,0,58,0,"DD",,,,,"0","WD",,,20,0,30,0,4,"Russia"
247,1,"JAP ARMY GROUP","OYAMA","314000",3,,,"41000","273000",9000,0,0,0,892,0,0,0,0,"FF",,,"EE","RF",,"PP","PS",,59,0,15,0,7,"Japan"
248,0,"TK ARMY OF MACEDONIA","ZEHKI PASHA","110000",1,"110000",0,"10000","100000",0,0,0,0,,0,0,120,0,"DO",,,,,"0","WD",,,0,-36,50,0,5,"Ottoman Empire"
248,1,"SERB 1ST ARMY","GEN PUTNIK","103000",3,"61800",41200,"5000","98000",0,0,0,0,180,0,0,,0,"FF",,,,,,"PP",,,0,-10,0,-40,8,"Serbia"
249,0,"TK ARMY OF THE EAST","ABDALLA PASHA","110000",1,"110000",0,"30000","80000",0,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,15,-15,15,-15,3,"Ottoman Empire"
249,1,"BUL ARMY GROUP","GEN DIMITRIEV","140000",3,"65000",75000,"20000","120000",0,0,0,0,,0,0,,0,"FF","EE","LF",,,,"PP",,,0,-33,9,0,6,"Bulgaria"
25,0,"ENG PARL ARMY","FAIRFAX","13000",1,"13000",0,"1000","12000",6000,0,0,0,13,0,0,0,0,"DO","FF",,,,"0","PS",,,3,0,10,-10,9,"Parliamentarian"
25,1,"ENG ROY ARMY","CHARLES I","9000",1,"9000",0,"6000","3000",5000,0,0,0,12,0,0,12,0,"FF",,,,,,"PP","RR","WL",13,0,17,0,4,"Royalist"
250,0,"TK ARMY OF MACEDONIA",,"20000",1,"20000",0,"6000","14000",0,0,0,0,,0,0,60,0,"DO","FF",,,,"0","WD",,,25,0,10,-10,5,"Ottoman Empire"
250,1,"SERB 1ST ARMY","GEN PUTNIK","50000",3,"25000",25000,"3000","47000",0,0,0,0,72,0,0,,0,"FF",,,"DE",,,"PP",,,0,-20,0,-33,7,"Serbia"
251,0,"TK ARMY OF MACEDONIA","KARA SAID PASHA","90000",1,"90000",0,"20000","70000",0,0,0,0,80,0,0,70,0,"DO","FF",,,,"0","WL",,,0,-33,0,-15,2,"Ottoman Empire"
251,1,"SERB ARMY GROUP","GEN PUTNIK","120000",1,"120000",0,"5000","115000",0,0,0,0,,0,0,0,0,"EE","LF","FF",,,,"BB","PS",,0,-17,10,-10,7,"Serbia"
252,0,"TK ADRIANOPLE GARRISON","SHUKRI PASHA","75000",1,"75000",0,"15000","60000",0,0,0,0,250,0,0,250,0,"DD",,,,,"0","WD",,,0,-20,15,-15,4,"Ottoman Empire"
252,1,"BUL 2ND ARMY(+)","GEN IVANHOFF","152000",1,"152000",0,"9300","142700",0,0,0,0,444,0,0,,0,"FF",,,"FE",,,"BB",,,0,-25,2,0,8,"Bulgaria"
253,0,"SOV ARMY GROUP","TUKHACHEVSKI","200000",3,,,"150000","50000",0,,,,598,,,231,,"DD",,,,,"0","WL",,,0,-25,0,-20,3,"USSR"
253,1,"POL ARMY GROUP","PILSUDSKI","160000",3,,,"50000","110000",0,1,1,0,179,,0,,,"EE","LF","FF",,,,"BB","PS",,25,0,20,-20,8,"Poland"
254,0,"SOV ARMY GROUP","TUKHACHEVSKI","108500",3,,,"50000","58500",0,,,,571,,,160,,"DO","FF",,,,"0","RR","WL",,20,-20,20,0,4,"USSR"
254,1,"POL ARMY GROUP","PILSUDSKI","80000",3,,,"20000","60000",0,,,,220,,,,,"EE","RR",,"FF",,,"BB","PS",,20,-20,20,-20,8,"Poland"
255,0,"SP REPUBLICAN FORCES","GEN MIAJA","100000",1,"100000",0,"6660","93340",0,70,,,,240,21,0,22,"DO","FF",,"EE","LF","0","BB","PS",,10,-10,10,-10,7,"Spanish Republic"
255,1,"IT VOL CORPS","GEN ROATTA","52000",1,"52000",0,"6460","45540",0,50,,,230,200,15,10,17,"FF",,,"EE","LF",,"PP","RR","WD",10,-10,10,-10,4,"Italy"
256,0,"SOV 59TH BORDER GUARD UNIT(-)","COL GREBENNIK","1460",3,,,"350","1110",0,20,,,20,0,17,,0,"DO",,,,,"0","RR","WL",,20,-20,20,-20,4,"USSR"
256,1,"JAP I/75TH INF REGT(+)","COL SATO","1410",3,,,"178","1232",0,0,0,0,14,0,0,0,0,"EE","LF","FF","FF",,,"PP",,,15,-15,15,-15,7,"Japan"
257,0,"JAP 19TH INF DIV(-)","LG SUETAKA","3010",3,,,"41","2969",0,0,0,0,22,0,0,0,0,"DD",,,,,"0",,,,15,-15,50,-50,6,"Japan"
257,1,"SOV 40TH RIFLE DIV(-)(+)","MARSHAL BLUCHER","4000",3,,,"400","3600",0,30,,,40,103,15,,0,"DE",,,,,,"RR","WD",,25,-25,13,-13,4,"USSR"
258,0,"JAP 19TH INF DIV(+)","LG SUETAKA","8000",3,,,"1100","6900",0,0,0,0,37,0,0,,0,"DO",,,,,"0","WD",,,15,-15,0,-25,6,"Japan"
258,1,"SOV SPECIAL FAR EASTERN ARMY(-)","MARSHAL BLUCHER","20000",3,,,"4000","16000",0,200,,,100,407,50,,6,"FF","EE","RF","EE","LF",,"RR","PP","SS",20,-20,25,-25,5,"USSR"
259,0,"SOV 11TH TK BDE(-)(+)","MAJ BYKOV","1228",3,,,"250","978",0,0,0,0,14,,0,,,"DO",,,,,"0","WD",,,20,-20,60,-40,5,"USSR"
259,1,"JAP 64TH INF REGT(-)(+)","COL YAMAGATA","1300",3,,,"278","1022",0,10,10,0,4,40,10,0,0,"FF","DE",,,,,"PP","SS",,15,-15,15,-15,5,"Japan"
26,0,"SCOT ROY ARMY","HAMILTON","21000",1,"21000",0,"5000","16000",3600,0,0,0,,0,0,,0,"DD",,,,,"0","WL",,,14,-20,60,0,3,"Scottish Royalist"
26,1,"ENG PARL ARMY","CROMWELL","9000",1,"9000",0,"300","8700",3000,0,0,0,,0,0,0,0,"FF","DE",,,,,"BB","PS",,0,-6,100,0,9,"English Parliament"
260,0,"JAP 6TH ARMY(-)","LG OGISU","30000",1,"30000",0,"11500","18500",0,120,,,135,,,,51,"DO",,,,,"0","WL",,,15,-15,2,-6,4,"Japan"
260,1,"SOV 1ST ARMY GROUP","GEN ZHUKOV","57000",1,"57000",0,"10000","47000",0,498,,,216,,,,,"FF","EE","RF","EE","LF",,"BB",,,20,-20,0,-10,7,"USSR"
261,0,"SOV 163RD UKRANIAN DIV & 44TH MOTORIZED DIV","GEN SELENTSOV","29954",3,"11954",18000,"19600","10354",0,55,,,96,,44,96,,"DO",,,,,"0","AA",,,10,-10,33,0,1,"USSR"
261,1,"FIN 9TH INF DIV","COL SIILASVUO","9000",3,"4000",5000,"2670","6330",0,0,0,0,8,,0,0,,"FF","DE",,"FF","DE",,"PP",,,10,0,10,-10,9,"Finland"
262,0,"GER 6TH &7TH ARMIES","GEN MOLTKE","345000",3,,,"32880","312120",0,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,0,-10,30,-30,6,"Germany"
262,1,"FR 1ST & 2ND ARMIES, ARMY OF ALSACE","GEN JOFFRE","457000",3,,,"65340","391660",0,0,0,0,,0,0,,0,"FF",,,,,,"PP","RR",,0,-10,30,-30,4,"France"
263,0,"FR 1ST & 2ND ARMIES & ARMY OF ALSACE","GEN JOFFRE","400000",3,,,"21780","378220",0,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,0,-17,30,-30,3,"France"
263,1,"GER 6TH & 7TH ARMIES","GEN MOLTKE","350000",3,,,"11000","339000",0,0,0,0,,0,0,,0,"FF",,,,,,"PP","PS",,7,-8,30,-30,8,"Germany"
264,0,"GER 4TH &5TH ARMIES","GEN MOLTKE","400000",3,,,"12720","387280",0,0,0,0,,0,0,,0,"DD",,,,,"0","PS",,,0,-10,30,-30,6,"Germany"
264,1,"FR 3RD & 4TH ARMIES","GEN JOFFRE","360000",3,,,"17196","342804",0,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,0,-10,30,-30,3,"France"
265,0,"FR 5TH ARMY","GEN LANREZAC","254000",3,,,"8000","246000",0,0,0,0,,0,0,,0,"DO","FF",,,,"0","RR","WD",,8,-10,30,-30,4,"France"
265,1,"GER 2ND & 3RD ARMIES","GEN BUELOW","440000",3,,,"21018","418982",0,0,0,0,,0,0,,0,"FF",,,"EE","RF",,"PP","PS",,0,-10,30,-30,6,"Germany"
266,0,"BR EXPED FORCE","FM FRENCH","70000",3,,,"1638","68362",0,0,0,0,328,0,0,2,0,"DD",,,,,"0","WD",,,0,-29,5,-5,5,"Great Britain"
266,1,"GER 1ST ARMY","GEN KLUCK","260000",3,,,"6210","253790",0,0,0,0,600,0,0,,0,"FF",,,"EE","LF",,"PP",,,23,-38,47,0,6,"Germany"
267,0,"BR EXPED FORCE","FM FRENCH","40000",3,,,"7800","32200",0,0,0,0,150,0,0,38,0,"DD",,,,,"0","WL",,,33,0,3,0,4,"Great Britain"
267,1,"GER 1ST ARMY","GEN KLUCK","250000",3,,,"8970","241030",0,0,0,0,,0,0,,0,"FF","DE",,,,,"PP",,,0,-60,10,-10,6,"Germany"
268,0,"FR 5TH ARMY","GEN LANREZAC","200000",3,,,"8000","192000",0,0,0,0,,0,0,,0,"DO","FF",,,,"0",,,,0,-20,30,-30,5,"France"
268,1,"GER 2ND ARMY","GEN BUELOW","260000",3,,,"12000","248000",0,0,0,0,,0,0,,0,"FF","EE","LF",,,,"PP","RR",,0,-10,30,-30,5,"Germany"
269,0,"FR 1ST & 2ND ARMIES","GEN JOFFRE","276000",3,,,"52000","224000",0,0,0,0,,0,0,,0,"DO","FF",,,,"0",,,,0,-27,10,-42,7,"France"
269,1,"GER 6TH & 7TH ARMIES","GEN MOLTKE","350000",3,,,"75000","275000",0,0,0,0,,0,0,,0,"FF",,,"FE",,,"RR","WD",,25,-25,31,0,4,"Germany"
27,0,"SCOT ROY ARMY","LESLIE","22000",1,"22000",0,"13000","9000",6000,0,0,0,30,0,0,30,0,"DD",,,,,"0","WL",,,18,-9,0,-8,4,"Scottish Royalist"
27,1,"ENG PARL ARMY","CROMWELL","11000",1,"11000",0,"30","10970",3500,0,0,0,,0,0,0,0,"EE","RF",,"FF",,,"BB","PS",,0,-5,200,-33,9,"English Parliament"
270,0,"GER 4TH RESERVE CORPS","GEN GRONAU","45000",1,"45000",0,"2500","42500",0,0,0,0,72,0,0,,0,"DO","FF",,,,"0","WD",,,0,-15,0,-20,6,"Germany"
270,1,"FR 6TH ARMY","GEN MOUNOURY","100000",1,"100000",0,"5600","94400",0,0,0,0,,0,0,,0,"FF",,,"EE","RF",,"SS",,,37,0,0,-29,6,"France"
271,0,"GER 1ST ARMY(-)(+)","GEN KLUCK","157000",3,,,"39000","118000",0,0,0,0,,0,0,,0,"DO","FF",,"EE","LF","0","PP","RR","WD",20,-20,20,-20,6,"Germany"
271,1,"FR 6TH ARMY","GEN MAUNOURY","198000",3,,,"40000","158000",0,0,0,0,,0,0,,0,"FF",,,"EE","RF",,"PP",,,20,-20,20,-20,6,"France"
272,0,"GER 2ND ARMY","GEN BUELOW","82000",3,,,"19000","63000",0,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,43,0,21,0,3,"Germany"
272,1,"FR 5TH ARMY","GEN FRANCHET D'ESPEREY","227000",3,,,"45000","182000",0,0,0,0,,0,0,,0,"FF","EE","RF",,,,"PP",,,0,-14,0,-31,6,"France"
273,0,"GER 1ST ARMY","GEN KLUCK","13000",3,,,"3500","9500",0,0,0,0,24,0,0,,0,"DD",,,,,"0","WD",,,15,-15,15,-15,4,"Germany"
273,1,"BR EXPED FORCE","FM FRENCH","90000",3,,,"2500","87500",0,0,0,0,380,0,0,,0,"FF",,,"EE","LF",,"PP",,,11,-44,0,-32,5,"Great Britain"
274,0,"FR 9TH ARMY","GEN FOCH","141000",3,,,"29000","112000",0,0,0,0,,0,0,,0,"DO","FF",,,,"0",,,,0,-18,0,-35,7,"France"
274,1,"GER 2ND(-) & 3RD ARMIES","GEN HAUSEN","101000",3,,,"25000","76000",0,0,0,0,,0,0,,0,"FF","DE",,,,,"RR","WD",,14,0,0,-13,5,"Germany"
275,0,"FR 4TH ARMY","GEN LANGLE DE CARY","170000",3,,,"27000","143000",0,0,0,0,,0,0,,0,"DO","FF",,,,"0",,,,0,-15,0,-11,6,"France"
275,1,"GER 3RD(-) & 4TH ARMIES","DK OF WUERTTEMBURG","113000",3,,,"26000","87000",0,0,0,0,,0,0,,0,"FF","DE",,,,,"RR","WD",,27,0,4,0,5,"Germany"
276,0,"FR 3RD ARMY","GEN SARRAIL","180000",3,,,"29000","151000",0,0,0,0,,0,0,,0,"DD",,,,,"0",,,,0,-16,0,-10,7,"France"
276,1,"GER 5TH ARMY","CR PR WILHELM","142000",3,,,"29000","113000",0,0,0,0,,0,0,,0,"FF","EE","LF",,,,"RR","WD",,27,0,17,0,5,"Germany"
277,0,"GER 1ST, 7TH & 2ND ARMIES","GEN FALKENHAYN","290000",3,,,"30000","260000",0,0,0,0,,0,0,,0,"DO","FF",,,,"0","SS",,,20,-20,20,-20,7,"Germany"
277,1,"FR 5TH & 6TH ARMIES, BR EXPED FORCE","GEN JOFFRE","343000",3,,,"50000","293000",0,0,0,0,,0,0,,0,"FF",,,,,,"RR","SS",,20,-20,20,-20,5,"France"
278,0,"GER 1ST CORPS","GEN VON FRANCOIS","40000",3,,,"2000","38000",0,0,0,0,100,0,0,,0,"DO","EE","LF",,,"0","WD",,,0,-50,0,-40,6,"Germany"
278,1,"RUS 3RD CORPS","GEN RENNENKAMPF","50000",1,"50000",0,"3500","46500",0,0,0,0,120,0,0,,0,"FF",,,,,,"RR",,,0,-20,92,-14,3,"Russia"
279,0,"RUS 1ST ARMY","GEN RENNENKAMPF","150000",1,"150000",0,"20000","130000",0,0,0,0,450,0,0,,0,"DO","FF",,,,"0","PP","SS",,0,-33,0,-27,5,"Russia"
279,1,"GER 8TH ARMY","GEN VON PRITTWITZ","120000",1,"120000",0,"20000","100000",0,0,0,0,300,0,0,,0,"FF","EE","RF",,,,"PP","SS",,0,-20,0,-15,5,"Germany"
28,0,"SCOT ROY ARMY","CHARLES II","16000",1,"16000",0,"9000","7000",4000,0,0,0,,0,0,,0,"DO","FF",,,,"0","WL",,,0,-10,0,-10,4,"Scottish Royalist"
28,1,"ENG PARL ARMY","CROMWELL","28000",1,"28000",0,"1000","27000",9000,0,0,0,,0,0,0,0,"FF",,,,,,"BB","PS",,7,0,0,-30,9,"English Parliament"
280,0,"RUS 2ND ARMY","GEN SAMSONOV","160000",3,,,"120000","40000",0,0,0,0,600,0,0,500,0,"DO","FF",,,,"0","AA",,,16,0,15,0,1,"Russia"
280,1,"GER 8TH ARMY","GEN VON HINDENBURG","187000",3,,,"13212","173788",0,0,0,0,818,0,0,,0,"FF","DE",,,,,"BB","PS",,0,-18,10,0,9,"Germany"
281,0,"RUS 1ST ARMY","GEN RENNENKAMPF","273000",1,"273000",0,"125000","148000",0,0,0,0,800,0,0,150,0,"DD",,,,,"0","WL",,,15,-15,0,-20,2,"Russia"
281,1,"GER 8TH ARMY","GEN VON HINDENBURG","288600",1,"288600",0,"40000","248600",0,0,0,0,,0,0,,0,"FF","EE","LF",,,,"BB","PS",,15,-15,0,-50,8,"Germany"
282,0,"RUS 4TH ARMY","GEN SALZA","260000",3,,,"50000","210000",0,0,0,0,690,0,0,28,0,"DD",,,,,"0","WD",,,0,-29,10,-25,6,"Russia"
282,1,"AUS 1ST ARMY","GEN DANKL","350000",3,,,"50000","300000",0,0,0,0,875,0,0,40,0,"FF","EE","RF",,,,"PP",,,0,-33,10,-25,8,"Austria"
283,0,"RUS 5TH ARMY","GEN PLEHVE","260000",3,,,"90000","170000",0,0,0,0,720,0,0,100,0,"DO","FF",,,,"0","WD",,,0,-27,10,-25,3,"Russia"
283,1,"AUS 4TH ARMY(+)","GEN AUFFENBERG","300000",3,,,"40000","260000",0,0,0,0,750,0,0,30,0,"FF","DE",,,,,"PP",,,0,-33,10,-25,5,"Austria"
284,0,"RUS 3RD & 8TH ARMIES","GEN IVANOV","480000",3,,,"35000","445000",0,0,0,0,1304,0,0,30,0,"DO","FF",,,,"0","PP",,,0,-17,10,-25,8,"Russia"
284,1,"AUS 3RD ARMY(+)","GEN BRUDERMAN","240000",3,,,"76000","164000",0,0,0,0,828,0,0,75,0,"FF",,,,,,"WD",,,0,-17,10,-25,2,"Austria"
285,0,"RUS 3RD, 5TH & 8TH ARMIES","GEN IVANOV","936000",3,,,"82000","854000",0,0,0,0,2000,0,0,30,0,"DO","FF",,,,"0","PP",,,0,-25,10,-25,8,"Russia"
285,1,"AUS 2ND, 3RD & 4TH ARMIES","GEN CONRAD","900000",3,,,"180000","720000",0,0,0,0,2000,0,0,160,0,"FF",,,,,,"RR","WD",,0,-25,10,-25,3,"Austria"
286,0,"RUS NORTHWEST ARMY GROUP","GRAND DK NICHOLAS","400000",3,,,"95000","305000",0,0,0,0,,0,0,,0,"DO","FF",,,,"0","WD",,,15,-15,15,-15,5,"Russia"
286,1,"GER 9TH ARMY","GEN MACKENSEN","260000",3,,,"60000","200000",0,0,0,0,,0,0,,0,"FF","DE",,,,,"PP","WD",,10,-10,10,-10,8,"Germany"
287,0,"SERB 1ST, 2ND & 3RD ARMIES","FM PUTNIK","200000",3,,,"18000","182000",0,0,0,0,,0,0,,0,"DO","FF",,"EE","RF","0","PP","PS",,0,-25,0,-11,8,"Serbia"
287,1,"AUS 2ND(-) & 5TH ARMIES","GEN POTIAREK","200000",3,,,"34000","166000",0,0,0,0,,0,0,70,0,"FF",,,"EE","RF",,"RR","WD",,0,-25,0,-31,3,"Austria"
288,0,"AUS 5TH & 6TH ARMIES","GEN POTIOREK","300000",3,,,"92000","208000",0,0,0,0,,0,0,133,0,"DD",,,,,"0","WL",,,0,-20,15,0,2,"Austria"
288,1,"SERB 1ST, 2ND & 3RD ARMIES","FM PUTNIK","200000",3,,,"45000","155000",0,0,0,0,,0,0,,0,"FF",,,,,,"BB","PS",,0,-20,15,0,8,"Serbia"
289,0,"GER 3RD ARMY","GEN HAUSEN","85220",1,"85220",,"23050",,0,0,0,0,470,,0,,,"DD",,,,,"0","SS",,,10,-10,10,-10,6,"Germany"
289,1,"FR 4TH ARMY","GEN LANGLE DE CARY","163182",1,"163182",,"42820",,0,0,0,0,879,,0,,,"FF",,,,,,"RR","SS",,10,-10,10,-10,4,"France"
29,0,"FR REB ARMY","CONDE","6000",1,"6000",0,"2000","4000",,0,0,0,6,0,0,6,0,"DD",,,,,"0","WD",,,10,-10,5,-5,5,"Conde Rebels"
29,1,"FR ROY ARMY","TURENNE","12000",1,"12000",0,"4000","8000",,0,0,0,,0,0,,0,"FF",,,,,,"PP",,,0,-10,0,-50,8,"France"
290,0,"GER 6TH ARMY(-)","CR PR RUPPRECHT","40000",3,"20000",20000,"12000","28000",0,0,0,0,,,0,,,"DD",,,,,"0","SS",,,15,-15,15,-15,6,"Germany"
290,1,"BR 1ST ARMY","GEN HAIG","87000",3,,,"12892","74108",0,0,0,0,530,,0,,,"FF",,,,,,"RR","SS",,10,-10,5,-5,5,"Great Britain"
291,0,"BR 2ND ARMY(-)(+)","GEN SMITH-DORRIEN","190000",3,,,"70000","120000",0,0,0,0,,,0,,,"DD",,,,,"0","SS",,,0,-15,10,-10,6,"Great Britain"
291,1,"GER 4TH ARMY(-)","DK OF WUERTTEMBERG","150000",3,,,"35000","115000",0,0,0,0,,,0,,,"FF",,,,,,"PP","SS",,0,-15,10,-10,5,"Germany"
292,0,"GER 6TH ARMY(-)","CR PR RUPPRECHT","30000",3,,,"5000","25000",0,0,0,0,,,0,,,"DO","FF",,,,"0","PP","SS",,20,-5,16,0,6,"Germany"
292,1,"BR 1ST ARMY(-)","GEN HAIG","90365",3,,,"16648","73717",0,0,0,0,433,,0,,,"FF",,,,,,"PP","SS",,10,-10,5,-5,4,"Great Britain"
293,0,"GER 6TH ARMY(-)","CR PR RUPPRECHT","75000",3,,,"19836","55164",0,0,0,0,,,0,,,"DO","FF",,,,"0","PP","SS",,20,0,10,-10,6,"Germany"
