"isqno","nam","co","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","attacker","surp","countries"
630,"US DIV",,29000,"US DIV",,,300,,0,215,,,72,60,,,,"FF",,,,,,"PP",,,0,0,0,0,0,TRUE,"US DIV","USA"
631,"US DIV",,25500,"US DIV",,,250,,0,215,,,162,0,,,,"RC",,,,,,"PP",,,0,0,0,0,0,TRUE,"US DIV","USA"
632,"US DIV",,26000,"US DIV",,,150,,0,215,,,72,60,,,,"FF",,,,,,"PP",,,0,0,0,0,0,TRUE,"US DIV","USA"
633,"US DIV",,27900,"US DIV",,,170,,0,215,,,72,60,,,,"FF",,,,,,"PP",,,0,0,0,0,0,TRUE,"US DIV","USA"
634,"NKOR ARMY",,30700,"NKOR ARMY",,,5730,,0,0,,,240,,0,,,,,,,,,"PP",,,0,0,0,0,0,TRUE,"NKOR ARMY","North Korea"
635,"NKOR ARMY",,37000,"NKOR ARMY",,,1460,,0,0,,,192,60,0,,,"FF",,,,,,"RR",,,0,0,0,0,0,TRUE,"NKOR ARMY","North Korea"
636,"US DIV",,13700,"US DIV",,,240,,0,118,,,72,60,,,,"FF",,,,,,"PP",,,0,0,0,0,0,TRUE,"US DIV","USA"
637,"USSR ARMY",,35170,"USSR ARMY",,,,,0,410,,,,,350,,,"FF",,,,,,"RR",,,0,0,0,0,0,TRUE,"USSR ARMY","USSR"
638,"SYR RGT",,4000,"SYR RGT",,,250,,0,100,,,2,,5,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"SYR RGT","Syria"
639,"SYR RGT",,3000,"SYR RGT",,,250,,0,60,,,6,,,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"SYR RGT","Syria"
640,"IS DIV",,6000,"IS DIV",,,650,,0,60,,,32,96,,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS DIV","Israel"
641,"IS RGT",,11400,"IS RGT",,,50,,0,184,,,48,81,35,,,,,,,,,,,,0,0,0,0,0,TRUE,"IS RGT","Israel"
642,"IS DIV",,17550,"IS DIV",,,50,,0,224,,,72,81,35,,,,,,,,,,,,0,0,0,0,0,TRUE,"IS DIV","Israel"
643,"IS DIV",,16500,"IS DIV",,,50,,0,409,,,72,81,35,,,,,,,,,,,,0,0,0,0,0,TRUE,"IS DIV","Israel"
644,"BRIT CORP",,38011,"BRIT CORP",,,572,,0,71,,,200,3,,,,"FF",,,,,,"PP",,,0,0,0,0,0,TRUE,"BRIT CORP","Great Britain"
645,"IS CORP",,34500,"IS CORP",,,1082,,0,775,,,,,30,,,"FF",,,,,,"PP",,,0,0,0,0,0,TRUE,"IS CORP","Israel"
646,"IS RGT",,2500,"IS RGT",,,10,,0,0,,,2,38,0,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS RGT","Israel"
647,"IS RGT",,2500,"IS RGT",,,250,,0,25,,,8,,0,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS RGT","Israel"
648,"IS DIV",,6000,"IS DIV",,,350,,0,75,,,24,206,,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS DIV","Israel"
649,"IS DIV",,4000,"IS DIV",,,400,,0,50,,,16,900,,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS DIV","Israel"
650,"IS DIV",,4700,"IS DIV",,,318,,0,72,,,27,72,16,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS DIV","Israel"
651,"IS RGT",,2668,"IS RGT",,,13,,0,40,,,5,24,2,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS RGT","Israel"
652,"IS DIV",,10000,"IS DIV",,,229,,0,108,,,32,34,5,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS DIV","Israel"
653,"IS RGT",,4000,"IS RGT",,,121,,0,25,,,12,8,2,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS RGT","Israel"
654,"NVN CORP",,30000,"NVN CORP",,,,,0,,,,100,,,,,"FF",,,,,,"BB",,,0,0,0,0,0,TRUE,"NVN CORP","North Vietnam"
655,"IS RGT",,3000,"IS RGT",,,375,,0,15,,,2,,10,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS RGT","Israel"
656,"IS DIV",,4500,"IS DIV",,,150,,0,57,,,14,60,5,,,"FF",,,,,,,,,0,0,0,0,0,TRUE,"IS DIV","Israel"
657,"GER ARMY GRP",,,"GER ARMY GRP",,,,,0,2439,,,,,980,,,"RC",,,,,,"BB",,,0,0,0,0,0,TRUE,"GER ARMY GRP","Germany"
658,"GER DIV",,17000,"GER DIV",,,,,0,218,,,,,72,,,"FF",,,,,,"PP",,,0,0,0,0,0,TRUE,"GER DIV","Germany"
659,"BRIT RGT",,11821,"BRIT RGT",,,,,0,88,,,8,0,61,,,"EE",,,,,,"RR",,,0,0,0,0,0,TRUE,"BRIT RGT","Great Britain"
660,"FR CO",,189,"FR CO",,,,,0,14,,,0,0,7,,,"FF",,,,,,"RR",,,0,0,0,0,0,TRUE,"FR CO","France"
1,"DU ARMY OF THE STATES GENERAL","MAURICE OF NASSAU",11300,"DU ARMY OF THE STATES GENERAL",11300,0,1000,10300,1400,0,0,0,6,0,0,0,0,"DO","FF",,,,"0",,,,33,-3,20,0,8,FALSE,"DU ARMY OF THE STATES GENERAL","Dutch Republic"
2,"BOH REB ARMY","CHRISTIAN OF ANHALT-BERNBERG",21000,"BOH REB ARMY",21000,0,5000,16000,11000,0,0,0,10,0,0,10,0,"DO","FF",,,,"0","RR","WL",,29,0,20,0,2,FALSE,"BOH REB ARMY","Bohemia"
3,"PROT UNION ARMY","BADEN-DURLACH",20000,"PROT UNION ARMY",20000,0,5800,14200,4000,0,0,0,40,0,0,20,0,"DD",,,,,"0","WL",,,0,-25,3,0,3,FALSE,"PROT UNION ARMY","Protestant Union"
4,"IMP ARMY","WALLENSTEIN",16000,"IMP ARMY",16000,0,1000,15000,10000,0,0,0,,0,0,0,0,"DO","DE",,,,"0","BB","PS",,25,0,20,0,9,FALSE,"IMP ARMY","Holy Roman Empire"
5,"DAN ARMY","CHRISTIAN IV",20000,"DAN ARMY",20000,0,7000,13000,10000,0,0,0,22,0,0,22,0,"DO",,,,,"0","WL",,,0,-25,43,-14,3,FALSE,"DAN ARMY","Denmark"
6,"SW & SAX ARMY","GUSTAVUS ADOLPHUS",37850,"SW & SAX ARMY",37850,0,6100,31750,12850,0,0,0,100,0,0,0,0,"DO","EE","LR",,,"0","BB",,,0,-5,0,-18,9,FALSE,"SW & SAX ARMY","Sweden"
7,"IMP ARMY","TILLY",27000,"IMP ARMY",27000,0,3000,24000,,0,0,0,,0,0,,0,"DO","FF",,,,"0","WD",,,0,-35,33,0,3,FALSE,"IMP ARMY","Holy Roman Empire"
8,"IMP ARMY","WALLENSTEIN",60000,"IMP ARMY",60000,0,2000,58000,13000,0,0,0,,0,0,,0,"DO","FF",,,,"0","RR","SS",,0,-25,0,-50,8,FALSE,"IMP ARMY","Holy Roman Empire"
9,"IMP ARMY","WALLENSTEIN",21770,"IMP ARMY",16770,5000,5000,16770,9200,0,0,0,25,0,0,,0,"DO","FF",,"EE","RR","0","RR","WD",,15,0,100,0,5,FALSE,"IMP ARMY","Holy Roman Empire"
10,"SP & IMP ARMY","CARDINAL-INFANTE AND FERDINAND",35000,"SP & IMP ARMY",35000,0,2000,33000,15000,0,0,0,50,0,0,0,0,"DO",,,,,"0","PS","WD",,0,-6,10,-10,9,FALSE,"SP & IMP ARMY","Spain|Holy Roman Empire"
11,"IMP & SAXON ARMY","HATZFELD AND JOHN GEORGE",30000,"IMP & SAXON ARMY",30000,0,18000,12000,14000,0,0,0,42,0,0,42,0,"DO","FF",,,,"0","AA",,,0,-30,0,-72,3,FALSE,"IMP & SAXON ARMY","Holy Roman Empire|Saxony"
12,"IMP ARMY","LEOPOLD WILLIAM",30000,"IMP ARMY",30000,0,15000,15000,8000,0,0,0,46,0,0,46,0,"DO","EE","RF",,,"0","WL",,,0,-13,0,-33,3,FALSE,"IMP ARMY","Holy Roman Empire"
13,"SP NETHERLANDS ARMY","MELLO",26000,"SP NETHERLANDS ARMY",26000,0,14000,12000,7000,0,0,0,18,0,0,18,0,"DO","FF",,,,"0","AA",,,0,-4,0,-16,3,FALSE,"SP NETHERLANDS ARMY","Spain"
14,"FR ARMY OF GERMANY","RANTZAU",18000,"FR ARMY OF GERMANY",18000,0,7000,11000,8000,0,0,0,10,0,0,10,0,"DD",,,,,"0","WL",,,33,0,57,0,2,FALSE,"FR ARMY OF GERMANY","France"
15,"IMP ARMY","MERCY",16000,"IMP ARMY",16000,0,4000,12000,8000,0,0,0,28,0,0,28,0,"DD",,,,,"0","WD",,,31,-6,125,0,6,FALSE,"IMP ARMY","Holy Roman Empire"
16,"SW ARMY","TORSTENSSON",15000,"SW ARMY",15000,0,2000,13000,9000,0,0,0,80,0,0,0,0,"DD",,,,,"0","PS",,,7,0,100,0,6,FALSE,"SW ARMY","Sweden"
17,"FR ARMY","TURENNE",11000,"FR ARMY",11000,0,3500,7500,5000,0,0,0,15,0,0,6,0,"DD",,,,,"0","WL",,,0,-27,57,-57,3,FALSE,"FR ARMY","France"
18,"IMP ARMY","MERCY AND WERTH",16000,"IMP ARMY",16000,0,6000,10000,5000,0,0,0,28,0,0,15,0,"DO","EE","RF","EE","RF","0","WD",,,25,-6,0,-17,6,FALSE,"IMP ARMY","Holy Roman Empire"
19,"IMP ARMY","LEOPOLD WILLIAM",18000,"IMP ARMY",18000,0,10000,8000,8000,0,0,0,38,0,0,38,0,"DO","EE","RF",,,"0","WL",,,10,-10,20,-20,3,FALSE,"IMP ARMY","Holy Roman Empire"
20,"ENG PARL ARMY","ESSEX",14870,"ENG PARL ARMY",14870,0,2500,12370,2500,0,0,0,15,0,0,7,0,"DO","FF",,,,"0","WD",,,2,-13,0,-60,4,FALSE,"ENG PARL ARMY","Parliamentarian"
21,"ENG ROY ARMY","RUPERT",17500,"ENG ROY ARMY",17500,0,6000,11500,6500,0,0,0,16,0,0,16,0,"DO","FF",,,,"0","PP","RR","WL",3,0,0,-6,4,FALSE,"ENG ROY ARMY","Royalist"
22,"SCOT ROY ARMY","MONTROSE",3000,"SCOT ROY ARMY",3000,0,1,2999,0,0,0,0,0,0,0,0,0,"DO","FF",,,,"0","PS",,,23,0,200,0,9,FALSE,"SCOT ROY ARMY","Royalist"
23,"SCOT COV ARMY","BAILLIE",6800,"SCOT COV ARMY",6800,0,6000,800,800,0,0,0,0,0,0,0,0,"DD",,,,,"0","WL",,,0,-10,0,-2,2,FALSE,"SCOT COV ARMY","Parliamentarian"
24,"ENG ROY ARMY","CHARLES I",10000,"ENG ROY ARMY",10000,0,500,9500,2000,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,0,-10,50,0,7,FALSE,"ENG ROY ARMY","Royalist"
25,"ENG PARL ARMY","FAIRFAX",13000,"ENG PARL ARMY",13000,0,1000,12000,6000,0,0,0,13,0,0,0,0,"DO","FF",,,,"0","PS",,,3,0,10,-10,9,FALSE,"ENG PARL ARMY","Parliamentarian"
26,"SCOT ROY ARMY","HAMILTON",21000,"SCOT ROY ARMY",21000,0,5000,16000,3600,0,0,0,,0,0,,0,"DD",,,,,"0","WL",,,14,-20,60,0,3,FALSE,"SCOT ROY ARMY","Scottish Royalist"
27,"SCOT ROY ARMY","LESLIE",22000,"SCOT ROY ARMY",22000,0,13000,9000,6000,0,0,0,30,0,0,30,0,"DD",,,,,"0","WL",,,18,-9,0,-8,4,FALSE,"SCOT ROY ARMY","Scottish Royalist"
28,"SCOT ROY ARMY","CHARLES II",16000,"SCOT ROY ARMY",16000,0,9000,7000,4000,0,0,0,,0,0,,0,"DO","FF",,,,"0","WL",,,0,-10,0,-10,4,FALSE,"SCOT ROY ARMY","Scottish Royalist"
29,"FR REB ARMY","CONDE",6000,"FR REB ARMY",6000,0,2000,4000,,0,0,0,6,0,0,6,0,"DD",,,,,"0","WD",,,10,-10,5,-5,5,FALSE,"FR REB ARMY","Conde Rebels"
30,"SP ARMY","DON JUAN",12000,"SP ARMY",12000,0,7000,5000,7000,0,0,0,0,0,0,0,0,"DO","FF",,,,"0","WL",,,17,0,0,-29,3,FALSE,"SP ARMY","Spain"
31,"IMP ALLIED ARMY","MONTECUCCOLI",30000,"IMP ALLIED ARMY",30000,0,2000,28000,10000,0,0,0,25,0,0,0,0,"DO","DE",,,,"0",,,,0,-17,10,0,9,FALSE,"IMP ALLIED ARMY","Holy Roman Empire"
32,"TURK ARMY","KARA MUSTAFA",107000,"TURK ARMY",107000,0,10000,97000,47000,0,0,0,500,0,0,370,0,"DD",,,,,"0","WD",,,29,0,25,-50,3,FALSE,"TURK ARMY","Ottoman Empire"
33,"TURK ARMY","HUSSEIN PASHA",80000,"TURK ARMY",80000,0,30000,50000,,0,0,0,,0,0,,0,"DD",,,,,"0","WL",,,0,-63,25,-25,3,FALSE,"TURK ARMY","Ottoman Empire"
34,"IMP ALLIED ARMY","CAPARA",7500,"IMP ALLIED ARMY",7500,0,2500,5000,6000,0,0,0,0,0,0,0,0,"DO","FF",,,,"0","WD",,,20,0,4,-20,4,FALSE,"IMP ALLIED ARMY","Holy Roman Empire"
35,"DU ALLIED ARMY","ORANGE",70000,"DU ALLIED ARMY",70000,0,14000,56000,15000,0,0,0,,0,0,4,0,"DD",,,,,"0","WD",,,0,-7,43,0,5,FALSE,"DU ALLIED ARMY","Dutch Republic"
36,"IMP ALLIED ARMY","BOURNONVILLE",31700,"IMP ALLIED ARMY",31700,0,2500,29200,14500,0,0,0,58,0,0,10,0,"DO","FF","EE",,,"0","PP","WD",,20,0,60,0,6,FALSE,"IMP ALLIED ARMY","Holy Roman Empire"
37,"IMP ALLIED ARMY","BOURNONVILLE",30000,"IMP ALLIED ARMY",30000,0,3400,26600,,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,67,0,0,-6,4,FALSE,"IMP ALLIED ARMY","Holy Roman Empire"
38,"SW ARMY","WRANGEL",6400,"SW ARMY",6400,0,2500,3900,6400,0,0,0,38,0,0,6,0,"DO","FF",,,,"0","WD",,,72,0,0,-20,4,FALSE,"SW ARMY","Sweden"
39,"ENG ARMY","FEVERSHAM",3000,"ENG ARMY",3000,0,300,2700,510,0,0,0,16,0,0,,0,"DO","DE",,,,"0","BB","PS",,0,-17,33,0,7,FALSE,"ENG ARMY","England"
40,"ENG ARMY","MACKAY",3400,"ENG ARMY",3400,0,1900,1500,100,0,0,0,,0,0,,0,"DD",,,,,"0","WL",,,17,0,84,0,2,FALSE,"ENG ARMY","England"
41,"ALLIED ARMY","WALDECK",35000,"ALLIED ARMY",35000,0,130,34870,,0,0,0,,0,0,,0,"DO","DE",,,,"0","PP",,,0,-14,131,-28,7,FALSE,"ALLIED ARMY","Dutch Republic"
42,"ALLIED ARMY","WALDECK",38000,"ALLIED ARMY",38000,0,19000,19000,,0,0,0,,0,0,49,0,"DD",,,,,"0","WL",,,0,-21,0,-37,3,FALSE,"ALLIED ARMY","Dutch Republic"
43,"ENG & IRISH REB ARMY","JAMES II",23000,"ENG & IRISH REB ARMY",23000,0,1500,21500,5000,0,0,0,6,0,0,6,0,"DO","FF",,,,"0","WD",,,2,0,7,0,5,FALSE,"ENG & IRISH REB ARMY","Jacobites"
44,"ENG & IRISH REB ARMY","ST. RUTH",25000,"ENG & IRISH REB ARMY",25000,0,4400,20600,,0,0,0,6,0,0,6,0,"DD",,,,,"0","WD",,,0,-44,36,0,4,FALSE,"ENG & IRISH REB ARMY","Jacobites"
45,"FR ARMY","LUXEMBOURG",57000,"FR ARMY",57000,0,7000,50000,12000,0,0,0,60,0,0,8,0,"DD",,,,,"0","WD",,,5,0,0,-1,7,FALSE,"FR ARMY","France"
46,"ALLIED ARMY","WILLIAM III",50000,"ALLIED ARMY",50000,0,14000,36000,20000,0,0,0,84,0,0,84,0,"DD",,,,,"0","WD",,,0,-5,29,-25,3,FALSE,"ALLIED ARMY","England"
47,"ALLIED ARMY","DUKE OF SAVOY",36000,"ALLIED ARMY",36000,0,11000,25000,11000,0,0,0,31,0,0,31,0,"DD",,,,,"0","WL",,,0,-6,0,-50,2,FALSE,"ALLIED ARMY","Savoy"
48,"TURK ARMY","MUSTAFA II",100000,"TURK ARMY",100000,0,30000,70000,40000,0,0,0,200,0,0,145,0,"DD",,,,,"0","AA",,,0,-20,0,-33,2,FALSE,"TURK ARMY","Ottoman Empire"
49,"RUSS ARMY","PETER THE GREAT",80000,"RUSS ARMY",80000,0,1300,78700,8500,0,0,0,100,0,0,,0,"DO","FF",,"DE",,"0","BB","PS",,33,-33,280,0,8,FALSE,"RUSS ARMY","Russia"
50,"FR & BAV ARMY","TALLARD, MARSIN & MAX EMMANUEL OF BAVARIA",56000,"FR & BAV ARMY",56000,0,34190,21810,17000,0,0,0,90,0,0,60,0,"DD",,,,,"0","WL",,,13,-7,0,-12,3,FALSE,"FR & BAV ARMY","France|Bavaria"
51,"FR & BAV ARMY","VILLEROY & MAX EMMANUEL OF BAVARIA",60000,"FR & BAV ARMY",60000,0,19000,41000,17000,0,0,0,70,0,0,54,0,"DD",,,,,"0","WL",,,3,0,0,-32,3,FALSE,"FR & BAV ARMY","France|Bavaria"
52,"FR & BAV ARMY","VENDOME & BURGUNDY",85000,"FR & BAV ARMY",85000,0,15000,70000,20000,0,0,0,50,0,0,25,0,"DO","FF",,,,"0","WL",,,0,-6,33,-7,3,FALSE,"FR & BAV ARMY","France"
53,"FR & BAV ARMY","VILLARS & BOUFFLERS",80000,"FR & BAV ARMY",80000,0,12000,68000,25000,0,0,0,60,0,0,16,0,"DO","FF",,,,"0","WD",,,19,0,17,0,7,FALSE,"FR & BAV ARMY","France"
54,"TURK ARMY","ALI PASHA",60000,"TURK ARMY",60000,0,6000,54000,20000,0,0,0,159,0,0,159,0,"DO","FF",,,,"0","PP","RR","WD",67,0,233,0,2,FALSE,"TURK ARMY","Ottoman Empire"
55,"PR ARMY","FREDERICK II",22000,"PR ARMY",22000,0,4850,17150,4500,0,0,0,50,0,0,0,0,"DO","FF",,,,"0",,,,0,-2,0,-5,7,FALSE,"PR ARMY","Prussia"
56,"PR ARMY","FREDERICK II",24500,"PR ARMY",24500,0,4819,19681,7000,0,0,0,82,0,0,,0,"DO","FF",,"EE","RR","0","BB","PS",,14,0,4,0,8,FALSE,"PR ARMY","Prussia"
57,"FR ARMY","NOAILLES",26000,"FR ARMY",26000,0,4000,22000,4000,0,0,0,56,0,0,0,0,"DO","FF",,,,"0","RR","WD",,123,0,20,0,3,FALSE,"FR ARMY","France"
58,"FR ARMY","SAXE",60000,"FR ARMY",60000,0,6000,54000,15000,0,0,0,100,0,0,0,0,"DO","FF",,,,"0",,,,16,0,14,0,8,FALSE,"FR ARMY","France"
59,"AUS & SAX ARMY","LORRAINE",66000,"AUS & SAX ARMY",66000,0,13176,52824,22000,0,0,0,121,0,0,63,0,"DO","FF",,,,"0","WD",,,14,0,15,0,3,FALSE,"AUS & SAX ARMY","Habsburg Empire"
60,"AUS & SAX ARMY","LORRAINE",41000,"AUS & SAX ARMY",41000,0,7444,33556,12700,0,0,0,98,0,0,19,0,"DD",,,,,"0","WD",,,0,-7,1,0,4,FALSE,"AUS & SAX ARMY","Habsburg Empire"
61,"SAX ARMY","RUTKOWSKI",31200,"SAX ARMY",31200,0,6630,24570,7000,0,0,0,42,0,0,40,0,"DO","FF",,,,"0","WD",,,12,0,58,0,3,FALSE,"SAX ARMY","Saxony"
62,"BR ARMY","COPE",2200,"BR ARMY",2200,0,1800,400,400,0,0,0,12,0,0,12,0,"DD",,,,,"0","WL",,,5,0,6,0,3,FALSE,"BR ARMY","Great Britain"
63,"BR ARMY","CUMBERLAND",9000,"BR ARMY",9000,0,309,8691,,0,0,0,16,0,0,0,0,"DO","DE",,,,"0",,,,11,0,0,-3,9,FALSE,"BR ARMY","Great Britain"
64,"AUS ARMY","BROWNE",34500,"AUS ARMY",34500,0,2873,31627,7500,0,0,0,94,0,0,3,0,"DO","FF",,,,"0","WD",,,0,-4,4,0,7,FALSE,"AUS ARMY","Austria"
65,"AUS ARMY","LORRAINE",62000,"AUS ARMY",62000,0,13400,48600,12600,0,0,0,177,0,0,60,0,"DO","FF",,,,"0","WD",,,0,-2,2,0,4,FALSE,"AUS ARMY","Austria"
66,"BR ARMY","CLIVE",2975,"BR ARMY",2975,0,63,2912,0,0,0,0,12,0,0,0,0,"DO","FF",,,,"0",,,,1,-3,14,0,9,FALSE,"BR ARMY","Great Britain"
67,"AUS ARMY","DAUN",44000,"AUS ARMY",44000,0,9000,35000,14000,0,0,0,145,0,0,,0,"DO","FF",,,,"0","PS",,,23,0,56,0,8,FALSE,"AUS ARMY","Austria"
68,"BR ARMY","DUKE OF CUMBERLAND",36000,"BR ARMY",36000,0,1500,34500,5000,0,0,0,28,0,0,7,0,"DO","FF",,,,"0","PP","WD",,5,-5,0,-6,3,FALSE,"BR ARMY","Great Britain"
69,"PR ARMY","FREDERICK II",22000,"PR ARMY",22000,0,548,21452,5400,0,0,0,79,0,0,,0,"DO","FF","EE",,,"0","BB","PS",,0,-9,9,0,9,FALSE,"PR ARMY","Prussia"
70,"AUS ARMY","LORRAINE",65000,"AUS ARMY",65000,0,22000,43000,14000,0,0,0,210,0,0,131,0,"DO","FF",,,,"0","WD",,,23,0,23,0,3,FALSE,"AUS ARMY","Austria"
71,"FR ARMY","CLERMONT",50000,"FR ARMY",50000,0,8200,41800,,0,0,0,,0,0,8,0,"DO","FF",,"DE",,"0","WD",,,6,0,39,0,5,FALSE,"FR ARMY","France"
72,"RUSS ARMY","FERMOR",43300,"RUSS ARMY",43300,0,18500,24800,6382,0,0,0,230,0,0,103,0,"DO","FF",,,,"0","RR","WD",,20,0,14,0,5,FALSE,"RUSS ARMY","Russia"
73,"PR ARMY","FREDERICK II",31000,"PR ARMY",31000,0,9097,21903,10000,0,0,0,200,0,0,101,0,"DD",,,,,"0","WD",,,35,0,13,0,4,FALSE,"PR ARMY","Prussia"
74,"FR ARMY","BROGLIE",30000,"FR ARMY",30000,0,1800,28200,,0,0,0,45,0,0,,0,"DD",,,,,"0",,,,20,0,0,-20,6,FALSE,"FR ARMY","France"
75,"FR ARMY","CONTADES",60000,"FR ARMY",60000,0,7086,52914,,0,0,0,170,0,0,43,0,"DD",,,,,"0","RR","WD",,0,-13,1,-1,2,FALSE,"FR ARMY","France"
76,"RUSS & AUS ARMY","SALTYKOV",59500,"RUSS & AUS ARMY",59500,0,15500,44000,10000,0,0,0,248,0,0,0,0,"DD",,,,,"0",,,,18,0,5,0,9,FALSE,"RUSS & AUS ARMY","Russia"
77,"BR ARMY","WOLFE",4800,"BR ARMY",4800,0,650,4150,0,0,0,0,,0,0,,0,"DO","FF",,,,"0",,,,1,0,0,-3,9,FALSE,"BR ARMY","Great Britain"
78,"PR ARMY","FINCK",13500,"PR ARMY",13500,0,1000,12500,,0,0,0,17,0,0,17,0,"DD",,,,,"0","AA",,,0,-11,30,0,2,FALSE,"PR ARMY","Prussia"
79,"FR ARMY","MUY",17000,"FR ARMY",17000,0,3700,13300,4000,0,0,0,,0,0,17,0,"DD",,,,,"0","WD",,,26,0,35,0,2,FALSE,"FR ARMY","France"
80,"PR ARMY","FREDERICK II",30000,"PR ARMY",30000,0,3600,26400,7500,0,0,0,120,0,0,10,0,"DO","FF",,,,"0","WD",,,0,-7,0,-6,8,FALSE,"PR ARMY","Prussia"
81,"AUS ARMY","DAUN",53400,"AUS ARMY",53400,0,15697,37703,20000,0,0,0,275,0,0,52,0,"DD",,,,,"0","WD",,,25,0,0,-2,4,FALSE,"AUS ARMY","Austria"
82,"AM PATRIOTS","PRESCOTT",3200,"AM PATRIOTS",3200,0,479,2721,0,0,0,0,6,0,0,5,0,"DD",,,,,"0","WD",,,0,-6,0,-8,5,FALSE,"AM PATRIOTS","USA"
83,"BR ARMY","CARLETON",1800,"BR ARMY",1800,0,18,1782,0,0,0,0,14,0,0,0,0,"DD",,,,,"0",,,,10,-10,5,-5,7,FALSE,"BR ARMY","Great Britain"
84,"AM ARMY","WASHINGTON",13000,"AM ARMY",13000,0,150,12850,,0,0,0,,0,0,,0,"DD",,,,,"0","WD",,,12,0,67,0,5,FALSE,"AM ARMY","USA"
85,"RALL'S HESSIAN BDE","RALL",1520,"RALL'S HESSIAN BDE",1520,0,996,524,20,0,0,0,6,0,0,5,0,"DD",,,,,"0","AA",,,0,-21,0,-6,2,FALSE,"RALL'S HESSIAN BDE","Great Britain"
86,"BR ARMY (DET.)","MAWHOOD",1200,"BR ARMY (DET.)",800,400,215,985,,0,0,0,2,0,0,2,0,"DD",,,,,"0","WL",,,0,-42,27,0,2,FALSE,"BR ARMY (DET.)","Great Britain"
87,"AM ARMY","GATES",7000,"AM ARMY",7000,0,316,6684,0,0,0,0,,0,0,0,0,"DO","FF",,,,"0","SS",,,20,-20,5,-5,5,FALSE,"AM ARMY","USA"
88,"BR ARMY","HOWE",9000,"BR ARMY",9000,0,551,8449,,0,0,0,,0,0,0,0,"DO","FF",,,,"0",,,,0,-11,0,-3,7,FALSE,"BR ARMY","Great Britain"
89,"AM ARMY","GATES",11000,"AM ARMY",11000,0,130,10870,0,0,0,0,,0,0,0,0,"DO","FF",,,,"0",,,,10,-10,15,0,9,FALSE,"AM ARMY","USA"
90,"AM ARMY","WASHINGTON",11000,"AM ARMY",5000,6000,362,10638,,0,0,0,14,0,0,0,0,"DD",,,,,"0",,,,27,0,5,-5,6,FALSE,"AM ARMY","USA"
91,"AM ARMY","GATES",3050,"AM ARMY",3050,0,1050,2000,0,0,0,0,9,0,0,9,0,"DD",,,,,"0","WL",,,31,0,42,0,3,FALSE,"AM ARMY","USA"
92,"AM ARMY","MORGAN",1025,"AM ARMY",1025,0,72,953,125,0,0,0,0,0,0,,0,"DO","DE",,,,"0","BB","PS",,0,-32,5,-5,9,FALSE,"AM ARMY","USA"
93,"AM ARMY","GREENE",4449,"AM ARMY",4449,0,420,4029,200,0,0,0,4,0,0,4,0,"DO","FF",,,,"0","WD",,,0,-3,20,0,5,FALSE,"AM ARMY","USA"
94,"AM ARMY","GREENE",1551,"AM ARMY",1551,0,420,1131,200,0,0,0,4,0,0,0,0,"DO","FF",,,,"0","WD",,,0,-10,5,-5,3,FALSE,"AM ARMY","USA"
95,"BR ARMY","STEWART",2000,"BR ARMY",2000,0,693,1307,0,0,0,0,5,0,0,1,0,"DD",,,,,"0",,,,0,-10,25,-24,5,FALSE,"BR ARMY","Great Britain"
96,"ARMIES OF NORTH & CENTER","DUMOURIEZ",36000,"ARMIES OF NORTH & CENTER",36000,0,400,35600,2000,0,0,0,54,0,0,,0,"DD",,,,,"0","SS",,,16,0,0,-25,4,FALSE,"ARMIES OF NORTH & CENTER","France"
97,"ALLIED ARMY","TESCHEN",13000,"ALLIED ARMY",13000,0,2500,10500,,0,0,0,54,0,0,,0,"DD",,,,,"0","WD",,,8,0,0,-40,4,FALSE,"ALLIED ARMY","Austria"
98,"AUSTRIAN ARMY","SAXE-COBURG",43000,"AUSTRIAN ARMY",43000,0,3000,40000,10000,0,0,0,,0,0,,0,"DO",,,,,"0",,,,0,-7,13,0,6,FALSE,"AUSTRIAN ARMY","Austria"
99,"BR & HAN ARMY","YORK",13000,"BR & HAN ARMY",13000,0,3000,10000,2200,0,0,0,,0,0,6,0,"DD",,,,,"0","WD",,,23,0,0,-30,4,FALSE,"BR & HAN ARMY","Great Britain"
