"isqno","nam","co","wof1","wof2","wof3","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","attacker","surp","countries"
268,"GER 2ND ARMY","GEN BUELOW",50,,,260000,,,,12000,248000,0,0,0,0,,0,0,,0,"FF","EE","LF",,,,"PP","RR",,0,-10,30,-30,5,TRUE,,"Germany"
269,"GER 6TH & 7TH ARMIES","GEN MOLTKE",144,,,350000,,,,75000,275000,0,0,0,0,,0,0,,0,"FF",,,"FE",,,"RR","WD",,25,-25,31,0,4,TRUE,,"Germany"
270,"FR 6TH ARMY","GEN MOUNOURY",18,,,100000,,100000,0,5600,94400,0,0,0,0,,0,0,,0,"FF",,,"EE","RF",,"SS",,,37,0,0,-29,6,TRUE,,"France"
271,"FR 6TH ARMY","GEN MAUNOURY",32,,,198000,,,,40000,158000,0,0,0,0,,0,0,,0,"FF",,,"EE","RF",,"PP",,,20,-20,20,-20,6,TRUE,,"France"
272,"FR 5TH ARMY","GEN FRANCHET D'ESPEREY",37,29,16,227000,16,,,45000,182000,0,0,0,0,,0,0,,0,"FF","EE","RF",,,,"PP",,,0,-14,0,-31,6,TRUE,16,"France"
273,"BR EXPED FORCE","FM FRENCH",30.4,14.4,,90000,,,,2500,87500,0,0,0,0,380,0,0,,0,"FF",,,"EE","LF",,"PP",,,11,-44,0,-32,5,TRUE,,"Great Britain"
274,"GER 2ND(-) & 3RD ARMIES","GEN HAUSEN",42,,,101000,,,,25000,76000,0,0,0,0,,0,0,,0,"FF","DE",,,,,"RR","WD",,14,0,0,-13,5,TRUE,,"Germany"
275,"GER 3RD(-) & 4TH ARMIES","DK OF WUERTTEMBURG",64,,,113000,,,,26000,87000,0,0,0,0,,0,0,,0,"FF","DE",,,,,"RR","WD",,27,0,4,0,5,TRUE,,"Germany"
276,"GER 5TH ARMY","CR PR WILHELM",64,,,142000,,,,29000,113000,0,0,0,0,,0,0,,0,"FF","EE","LF",,,,"RR","WD",,27,0,17,0,5,TRUE,,"Germany"
277,"FR 5TH & 6TH ARMIES, BR EXPED FORCE","GEN JOFFRE",112,,,343000,,,,50000,293000,0,0,0,0,,0,0,,0,"FF",,,,,,"RR","SS",,20,-20,20,-20,5,TRUE,,"France"
278,"RUS 3RD CORPS","GEN RENNENKAMPF",32,15,,50000,,50000,0,3500,46500,0,0,0,0,120,0,0,,0,"FF",,,,,,"RR",,,0,-20,92,-14,3,TRUE,,"Russia"
279,"GER 8TH ARMY","GEN VON PRITTWITZ",64,,,120000,,120000,0,20000,100000,0,0,0,0,300,0,0,,0,"FF","EE","RF",,,,"PP","SS",,0,-20,0,-15,5,TRUE,,"Germany"
280,"GER 8TH ARMY","GEN VON HINDENBURG",120,,,187000,,,,13212,173788,0,0,0,0,818,0,0,,0,"FF","DE",,,,,"BB","PS",,0,-18,10,0,9,TRUE,,"Germany"
281,"GER 8TH ARMY","GEN VON HINDENBURG",121,,,288600,,288600,0,40000,248600,0,0,0,0,,0,0,,0,"FF","EE","LF",,,,"BB","PS",,15,-15,0,-50,8,TRUE,,"Germany"
282,"AUS 1ST ARMY","GEN DANKL",64,,,350000,,,,50000,300000,0,0,0,0,875,0,0,40,0,"FF","EE","RF",,,,"PP",,,0,-33,10,-25,8,TRUE,,"Austria"
283,"AUS 4TH ARMY(+)","GEN AUFFENBERG",72,,,300000,,,,40000,260000,0,0,0,0,750,0,0,30,0,"FF","DE",,,,,"PP",,,0,-33,10,-25,5,TRUE,,"Austria"
284,"AUS 3RD ARMY(+)","GEN BRUDERMAN",150,,,240000,,,,76000,164000,0,0,0,0,828,0,0,75,0,"FF",,,,,,"WD",,,0,-17,10,-25,2,TRUE,,"Austria"
285,"AUS 2ND, 3RD & 4TH ARMIES","GEN CONRAD",160,,,900000,,,,180000,720000,0,0,0,0,2000,0,0,160,0,"FF",,,,,,"RR","WD",,0,-25,10,-25,3,TRUE,,"Austria"
286,"GER 9TH ARMY","GEN MACKENSEN",120,,,260000,,,,60000,200000,0,0,0,0,,0,0,,0,"FF","DE",,,,,"PP","WD",,10,-10,10,-10,8,TRUE,,"Germany"
287,"AUS 2ND(-) & 5TH ARMIES","GEN POTIAREK",74,,,200000,,,,34000,166000,0,0,0,0,,0,0,70,0,"FF",,,"EE","RF",,"RR","WD",,0,-25,0,-31,3,TRUE,,"Austria"
288,"SERB 1ST, 2ND & 3RD ARMIES","FM PUTNIK",106,,,200000,,,,45000,155000,0,0,0,0,,0,0,,0,"FF",,,,,,"BB","PS",,0,-20,15,0,8,TRUE,,"Serbia"
289,"FR 4TH ARMY","GEN LANGLE DE CARY",17,,,163182,,163182,,42820,,0,0,0,0,879,,0,,,"FF",,,,,,"RR","SS",,10,-10,10,-10,4,TRUE,,"France"
290,"BR 1ST ARMY","GEN HAIG",3.6,,,87000,,,,12892,74108,0,0,0,0,530,,0,,,"FF",,,,,,"RR","SS",,10,-10,5,-5,5,TRUE,,"Great Britain"
291,"GER 4TH ARMY(-)","DK OF WUERTTEMBERG",23,13.6,,150000,,,,35000,115000,0,0,0,0,,,0,,,"FF",,,,,,"PP","SS",,0,-15,10,-10,5,TRUE,,"Germany"
292,"BR 1ST ARMY(-)","GEN HAIG",6,,,90365,,,,16648,73717,0,0,0,0,433,,0,,,"FF",,,,,,"PP","SS",,10,-10,5,-5,4,TRUE,,"Great Britain"
293,"BR 1ST ARMY","GEN HAIG",7.2,14.4,,298437,,,,61713,236724,0,0,0,0,,,0,,,"FF",,,,,,"PP","SS",,0,-15,5,-5,5,TRUE,,"Great Britain"
294,"GER 8TH & 10TH ARMIES","GEN HINDENBURG",209,,,650000,,,,135000,515000,0,0,0,0,,,0,,,"DE",,,"FE",,,"BB","PS",,0,-50,0,-70,8,TRUE,,"Germany"
295,"GER 11TH ARMY, AUS 3RD(-) & 4TH ARMIES","GEN MACKENSEN",121,,,216000,,216000,0,36000,180000,0,0,0,0,622,,0,,,"FF",,,,,,"BB","PS",,0,-7,0,-30,8,TRUE,,"Germany"
296,"IT 2ND & 3RD ARMIES","GEN CADORNA",16,,,200000,,,,14947,185053,0,0,0,0,212,,0,,,"FF","RC",,,,,"RR","SS",,20,-20,10,-10,3,TRUE,,"Italy"
297,"IT 2ND & 3RD ARMIES","GEN CADORNA",29,,,200000,,,,41866,158134,0,0,0,0,,,0,,,"FF","RC",,,,,"RR","SS",,20,-20,0,-20,3,TRUE,,"Italy"
298,"IT 2ND & 3RD ARMIES","GEN CADORNA",29,,,356000,,,,67008,288992,0,0,0,0,1200,,0,,,"FF","RC",,,,,"RR","SS",,0,-15,10,-10,4,TRUE,,"Italy"
299,"IT 2ND & 3RD ARMIES","GEN CADORNA",29,,,311000,,,,48967,262033,0,0,0,0,1200,,0,,,"FF","RC",,,,,"RR","SS",,0,-15,10,-10,4,TRUE,,"Italy"
300,"ALLIED ARMY","GEN HAMILTON",11.2,,,32000,,,,5400,26600,0,0,0,0,345,0,0,,0,"FF",,,"FF","FE",,"PP","RR","SS",13,0,56,0,5,TRUE,,"Great Britain"
301,"BR 7TH, 10TH, 11TH, & 12TH DIVS","LG STOPFORD",4.8,,,25000,,25000,0,9000,16000,0,0,0,0,56,0,0,,0,"FF",,,,,,"PP","RR","SS",0,-10,0,-15,4,TRUE,,"Great Britain"
302,"BR MESOPOTAMIAN FIELD FORCE","MG TOWNSHEND",16,,,11000,,11000,0,1230,9770,0,0,0,0,28,,0,0,,"EE","LR","FF","FF","FE",,"BB",,,10,-10,10,-10,7,TRUE,,"Great Britain"
303,"BR MESOPOTAMIAN FIELD FORCE","MG TOWNSHEND",12.1,,,13756,,13756,0,4593,9163,0,0,0,0,30,,0,0,2,"EE","LF",,"FF",,,"RR","WD",,0,-18,10,-10,4,TRUE,,"Great Britain"
304,"BR 4TH & 6TH ARMIES","GEN RAWLINSON & GEN FAYOLLE",62.4,,,600000,,600000,,670000,,0,49,0,49,1537,,33,,,"FF",,,,,,"PP","RR","SS",15,-15,19,-8,4,TRUE,,"Great Britain"
305,"BR 4TH ARMY","GEN RAWLINSON",19.2,,,290000,,290000,0,57450,232550,0,0,0,0,1537,,0,,,"FF",,,,,,"PP","RR","SS",0,-25,5,-5,3,TRUE,,"Great Britain"
306,"BR 8TH DIV","MG HUDSON",1.4,,,11300,,11300,0,5121,6179,0,0,0,0,,,0,,,"FF",,,,,,"PP","RR","SS",0,-15,5,-5,3,TRUE,,"Great Britain"
307,"BR 4TH ARMY(-)","GEN RAWLINSON",4.5,,,45000,,45000,0,9000,36000,0,0,0,0,,,0,,,"FF",,,,,,"PP","RR","SS",0,-33,2,-2,5,TRUE,,"Great Britain"
308,"BR 4TH AND RESERVE ARMIES","GEN HAIG",9.600001,,,190000,,190000,0,3500,186500,0,36,0,36,,,25,,,"FF",,,,,,"PP","SS",,0,-20,20,-20,7,TRUE,,"Great Britain"
309,"RUSS ARMY","GEN YUDENICH",110,,,103000,,,,8000,95000,0,0,0,0,239,,0,,,"FF","DE",,,,,"BB","PS",,0,-22,20,0,8,TRUE,,"Russia"
310,"RUSS 2ND ARMY","GEN SMIRNOV",20,,,350000,,,,100000,250000,0,0,0,0,887,,0,,,"FF",,,,,,"RR","SS",,0,-14,0,-30,4,TRUE,,"Russia"
311,"RUSS SOUTHWEST ARMY GROUP","GEN BRUSILOV",400,,,600000,,600000,,495000,,0,0,0,0,1938,0,0,,0,"FF",,,,,,"PP","SS",,5,-15,5,-15,7,TRUE,,"Russia"
312,"IT 2ND & 3RD ARMIES","GEN CADORNA",48,,,300000,,,,3800,296200,0,0,0,0,,,0,,,"FF",,,,,,"RR","SS",,20,-20,31,0,4,TRUE,,"Italy"
313,"AUS 3RD & 11TH ARMIES","GEN CONRAD",48,,,213000,,213000,,41264,,0,0,0,0,2000,,0,,,"FF",,,,,,"PP","SS",,20,-20,15,-15,6,TRUE,,"Austria"
314,"IT 5TH ARMY","GEN CADORNA",48,,,200000,,200000,,72000,,0,0,0,0,623,,0,,,"FF",,,,,,"PP","SS",,20,-20,15,-15,6,TRUE,,"Italy"
315,"IT 2ND & 3RD ARMIES","GEN CADORNA",22.5,,,308000,,308000,,51232,,0,0,0,0,686,,0,,,"FF",,,,,,"PP","SS",,20,-20,15,0,6,TRUE,,"Italy"
316,"BR 1ST, 3RD & 5TH ARMIES","FM HAIG",32,,,276000,,276000,,83379,,0,48,,,2817,,,,,"FF",,,,,,"PP","RR","SS",0,-15,5,-5,5,TRUE,,"Great Britain"
317,"FR 5TH & 6TH ARMIES","GEN NIVELLE",64,,,1000000,,,,118000,882000,0,150,,,5114,,,,,"FF",,,,,,"PP","SS",,0,-15,10,0,3,TRUE,,"France"
318,"BR 2ND ARMY","GEN PLUMER",19,,,180000,,180000,,17000,,0,,,,2266,,,,,"FF",,,,,,"PP","SS",,0,-10,47,0,7,TRUE,,"Great Britain"
319,"BR 2ND & 5TH ARMIES & FR 1ST ARMY","FM HAIG",48,,,380000,,380000,,399821,,0,,,,2174,,,,,"FF",,,,,,"PP","SS",,0,-15,0,-23,5,TRUE,,"Great Britain|France"
320,"BR 3RD ARMY","GEN BYNG",16,,,90000,,90000,,15000,,0,324,0,324,1000,,108,,,"FF",,,,,,"PP","SS",,5,0,15,0,7,TRUE,,"Great Britain"
321,"GER 2ND ARMY","GEN MARWITZ",22,,,130000,,130000,,28000,,0,0,0,0,1200,,0,,,"FF","DE",,,,,"PP","SS",,10,0,15,0,7,TRUE,,"Germany"
322,"IT 2ND & 3RD ARMIES","GEN CADORNA",25,,,280000,,280000,,157000,,0,0,0,0,2200,,0,,,"FF",,,,,,"PP","SS",,15,-15,0,-64,5,TRUE,,"Italy"
323,"IT 2ND & 3RD ARMIES","GEN CADORNA",30,,,518000,,518000,,166000,,0,0,0,0,1700,,0,,,"FF",,,,,,"PP","SS",,20,-20,15,-15,5,TRUE,,"Italy"
324,"GER-AUS 5TH, 10TH & 14TH ARMIES","GEN CONRAD",160,,,602000,,,,20000,582000,0,0,0,0,4000,,0,,,"FF",,,,,,"BB","PS",,20,-20,15,-15,8,TRUE,,"Germany|Austria"
325,"BR 1ST & 3RD CORPS, & U/I CAV DIV","GEN MAUDE",7.2,,,46000,,,,2750,43250,0,0,0,0,174,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"Great Britain"
326,"BR ARMY OF EGYPT","GEN MURRAY",12,,,25000,,25000,0,4000,21000,0,0,0,0,,0,0,,0,"FF",,,"FE",,,"PP","RR","WD",0,-25,0,-5,4,TRUE,,"Great Britain"
327,"BR ARMY OF EGYPT","GEN MURRAY",24,,,25000,,25000,0,6400,18600,0,,,,,0,,,0,"FF",,,,,,"RR","WD",,0,-25,5,0,3,TRUE,,"Great Britain"
328,"BR ARMY OF EGYPT","GEN ALLENBY",32,,,72000,,,,2696,69304,0,,,,392,,,,,"FF","EE","LR","FE",,,"PP","PS",,22,0,5,-5,9,TRUE,,"Great Britain"
329,"BR ARMY OF EGYPT","GEN ALLENBY",24,,,85000,,85000,0,4000,81000,0,0,0,0,0,0,0,0,0,"FF","EE","RF",,,,"BB",,,0,-25,15,-15,8,TRUE,,"Great Britain"
330,"GER 2ND, 17TH & 18TH ARMIES","GEN LUDENDORFF",97,,,800000,,800000,,70000,,0,9,,,6473,,,,,"FF",,,,,,"PP",,,0,-25,20,0,7,TRUE,,"Germany"
331,"GER 2ND, 17TH & 18TH ARMIES","GEN LUDENDORFF",140,,,700000,,700000,,133000,,0,,,,6400,,,,,"FF",,,,,,"PP","RR","SS",0,-14,20,0,5,TRUE,,"Germany"
332,"GER 4TH & 6TH ARMIES","GEN LUDENDORFF",32,,,500000,,,,175000,325000,0,9,,,,,,,,"FF",,,,,,"PP","RR","SS",0,-10,10,-20,7,TRUE,,"Germany"
333,"GER SPEC ASSLT GRP 'VON GROTHE' & 272ND RES INF RGT","MAJ GROTHE",0.3,,,3072,,3072,0,71,3001,0,0,0,0,36,0,0,0,0,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,6,TRUE,,"Germany"
334,"GER 1ST & 7TH ARMIES","CR PR WILHELM",56.3,128,,250000,,250000,,118000,,0,,,,3719,,,,,"FF",,,,,,"PP","SS",,0,-10,0,-15,3,TRUE,,"Germany"
335,"US 1ST DIV & 28TH INF RGT","COL ELY",1.5,,,8679,,8679,0,300,8379,0,12,,,346,,6,0,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,,"USA"
336,"US 4TH BDE(+)","BG HARBORD",4.4,,,9437,,9437,0,1087,8350,0,0,0,0,36,,0,,,"FF",,,,,,"PP","RR","SS",10,-10,10,-10,4,TRUE,,"USA"
337,"US 5TH MAR RGT(-)","MAJ TURRILL",0.3,,,2913,,,,383,2530,0,0,0,0,32,,0,,,"FF",,,,,,"BB",,,10,-10,10,-10,6,TRUE,,"USA"
338,"US 3/5TH MAR RGT(-)","MAJ BERRY",0.8,,,1940,,1940,0,361,1579,0,0,0,0,18,,0,,,"FF",,,,,,"RR","WL",,10,-10,10,-10,2,TRUE,,"USA"
339,"US 6TH MAR RGT(-)","MAJ SIBLEY",0.7,,,2733,,2733,0,343,2390,0,0,0,0,18,,0,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,6,TRUE,,"USA"
340,"US 23RD INF RGT","COL MALONE",1.6,,,3608,,3608,0,340,3268,0,0,0,0,36,,0,,,"FF","EE","RF",,,,"RR","WL",,10,-10,10,-10,3,TRUE,,"USA"
341,"US 2/5TH MAR RGT(+)","MAJ WISE",0.8,,,3343,,3343,0,279,3064,0,0,0,0,48,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,,"USA"
342,"US 2/5TH MAR RGT","MAJ WISE",0.8,,,1747,,1747,0,167,1580,0,0,0,0,18,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,,"USA"
343,"GER 109TH RGT(-)(+)",,1.6,,,3690,,3690,0,138,3552,0,0,0,0,48,,0,,,"FF",,,,,,"RR","WD","SS",15,-15,15,-15,5,TRUE,,"Germany"
344,"US 1/7TH INF RGT","LCOL ADAMS",1.2,,,1697,,1697,0,192,1505,0,0,0,0,12,,0,,,"FF",,,,,,"RR","WL","SS",10,-10,10,-10,2,TRUE,,"USA"
345,"US 3/5TH MAR RGT","MAJ SHEARER",1.2,,,1256,,1256,0,133,1123,0,0,0,0,0,,0,0,,"FF",,,,,,"RR","WL","SS",10,-10,10,-10,3,TRUE,,"USA"
346,"US 3/5TH MAR RGT","MAJ SHEARER",0.8,,,4453,,,,273,4180,0,0,0,0,48,,0,,,"FF",,,,,,"BB",,,10,-10,10,-10,7,TRUE,,"USA"
347,"US 3RD BDE, 2ND INF DIV","BG LEWIS",1.8,,,12812,,12812,0,336,12476,0,,,,138,,,,,"FF","EE","RF",,,,"BB",,,10,-10,10,-10,7,TRUE,,"USA"
348,"US 2/9TH INF RGT","MAJ BOUTON",0.7,,,4515,,4515,0,94,4421,0,,,,54,,,0,,"FF",,,,,,"BB",,,10,-10,10,-10,7,TRUE,,"USA"
349,"US 3/33RD INF RGT","MAJ ELLIOT",0.7,,,4508,,4508,0,223,4285,0,,,,69,,,,,"FF","EE","RF",,,,"BB",,,10,-10,10,-10,7,TRUE,,"USA"
350,"GER 18TH & 7TH ARMIES","CR PR WILHELM",43,,,275000,,,,80000,195000,0,,,,3000,,,,,"FF",,,,,,"PP","RR","SS",9,0,10,-10,4,TRUE,,"Germany"
351,"GER 7TH, 1ST & 3RD ARMIES","CR PR WILHELM",105,,,400000,,,,100000,300000,0,20,,,4500,,20,,,"DE",,,,,,"PP","RR","SS",10,-10,10,-10,4,TRUE,,"Germany"
352,"FR 10TH ARMY(+)","GEN MANGIN",130,,,750000,,750000,,55000,,0,350,150,200,7000,,,,,"FF",,,,,,"PP",,,15,-15,15,-15,7,TRUE,,"France"
353,"US 26TH INF RGT(+)","COL SMITH",0.7,,,5004,,5004,0,393,4611,0,10,0,10,29,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,,"USA"
354,"US 28TH INF RGT(+)","COL BABCOCK",0.8,,,5039,,5039,0,448,4591,0,8,0,8,29,,5,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,,"USA"
355,"US 2/28TH INF RGT","MAJ HUEBNER",0.3,,,1150,,1150,0,120,1030,0,5,0,5,0,,0,0,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
356,"US 2/23RD INF RGT(+)","MAJ WADDILL",1.3,,,4480,,4480,0,125,4355,0,12,12,0,36,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
357,"US 1ST INF BDE(+)","BG HINES",1.5,,,10345,,10345,0,895,9450,0,30,0,30,58,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
358,"US 3/18TH INF RGT(+)","COL PARKER",0.6,,,1611,,1611,0,130,1481,0,0,0,0,14,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
359,"FR 5TH, 6TH, 9TH & 10TH ARMIES","GEN FOCH",128,,,725000,,,,195000,530000,0,350,,,7000,,,,,"FF",,,,,,"PP",,,15,-15,15,-15,7,TRUE,,"USA"
360,"US 28TH INF RGT(-)(+)","GEN SUMMERALL",1,,,4000,,4000,0,210,3790,0,,,,36,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
361,"US 18TH INF RGT(-)(+)","GEN SUMMERALL",1,,,5300,,5300,0,350,4950,0,,,,36,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
362,"BR 1ST, 3RD, 4TH ARMIES","FM HAIG",70,,,225000,,225000,,10000,,0,462,96,366,2000,,,,,"FF",,,,,,"BB",,,15,-15,15,-15,9,TRUE,,"USA"
363,"BR 1ST ARMY(+) & FR 1ST ARMY(+)","FM HAIG",150,,,300000,,300000,,35000,,0,,,,,,,,,"FF",,,,,,"PP",,,15,-15,15,-15,9,TRUE,,"USA"
364,"US 1ST ARMY","GEN PERSHING",72,,,400000,,,,7000,393000,0,267,267,0,3010,800,,,,"EE","LF",,"EE","RF","FE","PP","PS",,25,-20,10,-10,8,TRUE,,"USA"
365,"US 2ND INF BDE(+)","BG BAMFORD",1.2,2,,13208,,13208,0,185,13023,0,0,0,0,76,,0,,,"FF",,,,,,"BB","PS",,10,-10,10,-10,8,TRUE,,"USA"
366,"US 1ST ARMY(+)","GEN PERSHING",53,,,300000,,300000,,22128,,0,189,189,0,2700,821,,,,"FF",,,,,,"PP","SS",,25,-25,20,-20,7,TRUE,,"USA"
367,"US 2ND DIV(+)","MG LEJEUNE",6.4,,,26000,,,,4700,21300,0,72,72,0,192,,,,,"FF",,,,,,"PP","SS",,5,-5,5,-5,6,TRUE,,"USA"
368,"US 2/9TH INF RGT","LCOL ARNOLD",0.6,,,1921,,1921,0,247,1674,0,3,3,0,12,,0,0,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
369,"US 1/5TH MAR RGT(-)","COL HUNT",0.8,,,1420,,1420,0,140,1280,0,3,3,0,17,,0,0,,"EE","LF",,,,,"BB",,,10,-10,10,-10,8,TRUE,,"USA"
370,"US 2/6TH MAR RGT","COL LEE",1.3,,,1400,,1400,0,308,1092,0,12,12,0,96,,0,0,,"FF",,,,,,"PP",,,10,-10,0,-25,7,TRUE,,"USA"
371,"US 4TH MAR BDE(-)",,1.5,,,9230,,9230,0,620,8610,0,24,24,0,96,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
372,"US 36TH DIV(-)(+)","MG SMITH",4,,,18000,,18000,0,1589,16411,0,,,,144,,,,,"FF",,,,,,"RR","SS",,0,-20,0,-12,6,TRUE,,"USA"
373,"FR 4TH ARMY(+)","GEN FOCH",104,,,500000,,500000,,77448,,0,,,,,,,,,"FF",,,,,,"PP","SS",,25,-25,20,-20,7,TRUE,,"USA"
374,"US 18TH INF RGT","COL HUNT",0.9,,,5336,,5336,0,352,4984,0,11,11,0,36,,,,,"FF",,,,,,"PP","RR","SS",10,-10,10,-10,5,TRUE,,"USA"
375,"US 26TH INF RGT(+)","COL ERICKSON",1,,,5427,,5427,0,376,5051,0,13,13,0,36,,13,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,5,TRUE,,"USA"
376,"US 28TH INF RGT(+)","COL BARNHARDT",1,,,5365,,5365,0,340,5025,0,13,13,0,36,,,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,6,TRUE,,"USA"
377,"US 16TH INF RGT(+)","LCOL COPPOCK",1,,,5461,,5461,0,242,5219,0,10,10,0,36,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,,"USA"
378,"US 26TH INF RGT(+)","COL ERICKSON",0.8,,,5022,,5022,0,301,4721,0,3,3,0,32,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,,"USA"
379,"US 18TH INF RGT(+)","COL HUNT",0.9,,,4778,,4778,0,132,4646,0,0,0,0,32,,0,,,"FF","EE","RF",,,,"PP","RR","SS",10,-10,10,-10,6,TRUE,,"USA"
380,"US 1/16TH INF RGT(+)","MAJ RYDER",0.9,,,2950,,2950,0,109,2841,0,0,0,0,32,,0,,,"FF","DE",,,,,"PP",,,10,-10,10,-10,7,TRUE,,"USA"
381,"FR 4TH ARMY(+)","GEN PERSHING",169,,,600000,,600000,,30426,,0,,,,,,,,,"FF",,,,,,"PP",,,25,-25,20,-20,6,TRUE,,"France"
382,"US 1/16TH INF RGT","MAJ RYDER",0.5,,,1210,,1210,0,25,1185,0,0,0,0,0,0,0,0,0,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,,"USA"
383,"US 16TH INF RGT(-)(+)","COL HARREL",1.1,,,1989,,1989,0,110,1879,0,0,0,0,0,,0,0,,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,,"USA"
384,"AUS CONRAD & BOROJEVIC GROUPS","ARCHDUKE EUGENE",144,,,840000,,,,150000,690000,0,,0,0,7500,,0,70,,"FF",,,,,,"RR","SS",,0,-38,0,-24,4,TRUE,,"Austria"
385,"BR 21ST CORPS(+)","GEN ALLENBY",24,,,51170,,51170,0,3378,47792,0,0,0,0,384,200,0,,,"FF",,,"EE","LF",,"BB","PS",,0,-15,0,-10,9,TRUE,,"Great Britain"
386,"GER & ITAL PZ ARMY AFRICA","GFM ROMMEL",90,,,124000,,124000,0,2940,121060,0,515,,,558,,50,15,41,"EE","LR",,"FE",,,"PP","RR","WD",0,-20,10,-10,5,TRUE,,"Germany|Italy"
387,"BR 8TH ARMY","LG MONTGOMERY",61,,,220476,,220476,0,13560,206916,0,1037,119,918,908,11586,500,2,97,"FF",,,"FE",,,"BB","PS",,5,-5,5,-5,8,TRUE,,"Great Britain"
388,"BR 8TH ARMY","LG MONTGOMERY",61,,,220476,,220476,0,6140,214336,0,1037,119,918,908,,302,2,16,"FF",,,"FE",,,"PP","SS",,5,-5,5,-5,7,TRUE,,"Great Britain"
389,"BR 8TH ARMY","LG MONTGOMERY",61,,,214336,,214336,0,3000,211336,0,745,88,657,906,,38,,,"FF",,,,,,"PP","SS",,5,-5,5,-5,7,TRUE,,"Great Britain"
390,"BR 8TH ARMY","LG MONTGOMERY",61,,,211000,,211000,0,4420,206580,0,700,,,906,,160,,,"FF",,,,,,"BB","PS",,5,-5,5,-5,9,TRUE,,"Great Britain"
391,"GER 190TH PZ BN, 10TH PZ DIV (ELMS)(+)","COL BROICH",0.6,,,465,,465,0,27,438,0,13,0,13,0,0,9,0,0,"FF",,,,,,"RR","WD",,0,-15,50,-50,3,TRUE,,"Germany"
392,"GER 10TH PZ DIV(+)","GEN BROICH",25,,,10300,,10300,0,450,9850,0,103,7,96,62,123,42,,4,"FF",,,,,,"RR","WD",,10,-15,11,-11,5,TRUE,,"Germany"
393,"US 9TH INF DIV(+)","MG EDDY",32,14.5,,24098,,24098,,1120,,0,94,22,72,100,75,,0,0,"FF",,,,,,"BB","PS",,5,-5,5,-5,7,TRUE,,"USA"
394,"BR 56TH INF DIV","MG GRAHAM",13,,,12917,,12917,0,1154,11763,0,0,0,0,138,131,0,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,5,TRUE,,"Great Britain"
395,"BR 46TH INF DIV","MG HAWKESWORTH",6,,,12917,,12917,0,1530,11387,0,0,0,0,138,131,0,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,6,TRUE,,"Great Britain"
396,"US 45TH INF DIV","MG MIDDLETON",11,,,12447,,12447,0,251,12196,0,106,17,89,82,18,1,,,"FF",,,,,,"PP","SS",,5,-5,5,-5,5,TRUE,,"USA"
397,"GER 16TH PZ DIV(-)(+)","MG SICKENIUS",4.8,,,14730,,14730,,1112,,0,89,0,89,108,112,,,,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,3,TRUE,,"Germany"
398,"GER HERMANN GOERING PZ DIV(+)","MG SCHMALTZ",14.5,,,15000,,15000,,900,,0,108,0,108,164,112,,,,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,3,TRUE,,"Germany"
399,"GER 16TH PZ DIV(-)(+)","MG SICKENIUS",9.7,,,14733,,14733,,702,,0,98,0,98,106,24,,1,,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,4,TRUE,,"Germany"
400,"BR 56TH INF DIV(+)","MG TEMPLER",12,,,14730,,14730,0,300,14430,0,97,4,93,152,94,,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,,"Great Britain"
401,"US 45TH INF DIV(+)","MG MIDDLETON",7.5,,,15576,,15576,,386,,0,106,17,89,106,156,,0,,"FF",,,,,,"PP",,,5,-5,5,-5,6,TRUE,,"USA"
