dbpedia,isqno,origwar,war,theater,name,NAMA,belligerenta,sidea,COA,uri_coa,NAMD,belligerentd,COD,uri_cod
Battle_of_Cerro_Gordo,160,US-MEXICAN WAR,Mexican-American War of 1846-1847,,CERRO GORDO,US ARMY,USA,A,SCOTT,http://en.wikipedia.org/wiki/Winfield_Scott,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
Battle_of_Contreras,161,US-MEXICAN WAR,Mexican-American War of 1846-1847,,CONTRERAS,US ARMY,USA,A,PILLOW,http://en.wikipedia.org/wiki/Gideon_Johnson_Pillow,MEX ARMY,Mexico,VALENCIA,http://en.wikipedia.org/wiki/Gabriel_Valencia
Battle_of_Churubusco,162,US-MEXICAN WAR,Mexican-American War of 1846-1847,,CHURUBUSCO,US ARMY,USA,A,SCOTT,http://en.wikipedia.org/wiki/Winfield_Scott,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
Battle_of_Molino_del_Rey,163,US-MEXICAN WAR,Mexican-American War of 1846-1847,,MOLINO DEL REY,US ARMY,USA,A,WORTH,http://en.wikipedia.org/wiki/William_J._Worth,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
Battle_of_Chapultepec,164,US-MEXICAN WAR,Mexican-American War of 1846-1847,,CHAPULTEPEC,US ARMY,USA,A,SCOTT,http://en.wikipedia.org/wiki/Winfield_Scott,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
Battle_of_Alma,165,CRIMEAN WAR,Crimean War of 1853-1856,,THE ALMA,"BR, FR & TURK ARMIES",Great Britain|France,A,RAGLAN & SAINT-ARNAUD," http://en.wikipedia.org/wiki/Jacques_Leroy_de_Saint_Arnaud http://en.wikipedia.org/wiki/Fitzroy_Somerset,_1st_Lord_Raglan",RUSS ARMY,Russia,MENSHIKOV,http://en.wikipedia.org/wiki/Aleksandr_Sergeyevich_Menshikov
Battle_of_Inkerman,166,CRIMEAN WAR,Crimean War of 1853-1856,,INKERMAN,RUSS ARMY,Russia,B,MENSHIKOV,http://en.wikipedia.org/wiki/Aleksandr_Sergeyevich_Menshikov,BR & FR ARMY,Great Britain|France,RAGLAN & CANROBERT, http://en.wikipedia.org/wiki/Jacques_Leroy_de_Saint_Arnaud http://en.wikipedia.org/wiki/Fran%C3%A7ois_Certain_Canrobert
Battle_of_Magenta,167,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,War of Italian Unification of 1859,,MAGENTA,FR & PIED ARMY,France,B,NAPOLEON III,http://en.wikipedia.org/wiki/Napoleon_III_of_France,AUS ARMY,Austria,GYULAI,http://en.wikipedia.org/wiki/Ferenc_Gyulay
Battle_of_Solferino,168,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,War of Italian Unification of 1859,,SOLFERINO,FR & PIED ARMY,France,B,NAPOLEON III,http://en.wikipedia.org/wiki/Napoleon_III_of_France,AUS ARMY,Austria,FRANZ JOSEPH I,http://en.wikipedia.org/wiki/Franz_Joseph_of_Austria
Battle_of_Königgrätz,169,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,Seven Weeks War of 1866,,SADOWA (KOENIGGRATZ),PR ARMY GROUP,Prussia,B,MOLTKE,http://en.wikipedia.org/wiki/Helmuth_Karl_Bernhard_von_Moltke,AUS & SAX ARMY,Austria,BENEDEK,http://en.wikipedia.org/wiki/Ludwig_von_Benedek
Battle_of_Custoza_(1866),170,AUSTRO-ITALIAN WAR,Seven Weeks War of 1866,,CUSTOZZA II,ITAL ARMY,Italy,B,LA MARMORA,http://en.wikipedia.org/wiki/Alfonso_Ferrero_la_Marmora,AUS ARMY,Austria,ARCHDUKE ALBERT,http://en.wikipedia.org/wiki/Archduke_Albert_(1817-1895)
First_Battle_of_Bull_Run,171,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,FIRST BULL RUN (MANASSAS),US ARMY,USA,B,MACDOWELL,http://en.wikipedia.org/wiki/Irvin_McDowell,CS ARMY,Confederacy,BEAUREGARD & JOHNSTON,http://en.wikipedia.org/wiki/P._G._T._Beauregard http://en.wikipedia.org/wiki/Joseph_E._Johnstonhttp://en.wikipedia.org/wiki/Joseph_E._Johnstonhttp://en.wikipedia.org/wiki/Joseph_E._Johnston
Battle_of_Wilson%27s_Creek,172,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,WILSON'S CREEK,US ARMY,USA,B,LYON,http://en.wikipedia.org/wiki/Nathaniel_Lyon,CS ARMY,Confederacy,MCCULLOCH,http://en.wikipedia.org/wiki/Ben_McCulloch
Battle_of_Belmont,173,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,BELMONT,US ARMY,USA,B,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant,CS ARMY,Confederacy,POLK,http://en.wikipedia.org/wiki/Leonidas_Polk
Battle_of_Mill_Springs,174,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,MILL SPRINGS,CS ARMY,Confederacy,A,ZOLLICOFFER,http://en.wikipedia.org/wiki/Felix_Zollicoffer,US ARMY,USA,THOMAS,http://en.wikipedia.org/wiki/George_B._Crittenden
Battle_of_Fort_Donelson,175,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,FORT DONELSON,CS ARMY,Confederacy,A,FLOYD,http://en.wikipedia.org/wiki/John_B._Floyd,US ARMY,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
Battle_of_Pea_Ridge,176,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,PEA RIDGE,CS ARMY,Confederacy,A,VAN DORN,http://en.wikipedia.org/wiki/Earl_Van_Dorn,US ARMY OF THE SOUTHWEST,USA,CURTIS,http://en.wikipedia.org/wiki/Samuel_Ryan_Curtis
First_Battle_of_Kernstown,177,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,KERNSTOWN,CS ARMY,Confederacy,A,JACKSON,http://en.wikipedia.org/wiki/Stonewall_Jackson,US ARMY,USA,SHIELDS,http://en.wikipedia.org/wiki/James_Shields
Battle_of_Shiloh,178,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,SHILOH,CS ARMY OF MISSISSIPPI,Confederacy,A,A. S. JOHNSTON,http://en.wikipedia.org/wiki/Albert_Sidney_Johnston,US ARMIES OF THE TENNESSEE AND OHIO,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
Battle_of_Front_Royal,179,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,FRONT ROYAL,CS VALLEY ARMY,Confederacy,A,JACKSON,http://en.wikipedia.org/wiki/Robert_E._Lee,US 1ST MARYLAND REGIMENT,USA,KENLY,http://en.wikipedia.org/wiki/John_Reese_Kenly
First_Battle_of_Winchester,180,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,FIRST WINCHESTER,CS VALLEY ARMY,Confederacy,A,JACKSON,http://en.wikipedia.org/wiki/Stonewall_Jackson,US V CORPS,USA,BANKS,http://en.wikipedia.org/wiki/Nathaniel_P._Banks
Battle_of_Cross_Keys,181,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,CROSS KEYS,US ARMY OF W. VA.,USA,B,FREMONT,http://en.wikipedia.org/wiki/John_C._Fr%C3%A9mont,CS VALLEY ARMY,Confederacy,EWELL,http://en.wikipedia.org/wiki/John_C._Fr%C3%A9mont
Battle_of_Port_Republic,182,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,PORT REPUBLIC,CS VALLEY ARMY,Confederacy,A,JACKSON,http://en.wikipedia.org/wiki/Stonewall_Jackson,US V CORPS,USA,TYLER,http://en.wikipedia.org/wiki/Erastus_B._Tyler
Battle_of_Seven_Pines,183,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,SEVEN PINES (FAIR OAKS),CS ARMY,Confederacy,A,J. E. JOHNSTON & SMITH,http://en.wikipedia.org/wiki/Joseph_E._Johnston http://en.wikipedia.org/wiki/Gustavus_Woodson_Smith,US ARMY OF THE POTOMAC,USA,MCCLELLAN,http://en.wikipedia.org/wiki/George_B._McClellan
Battle_of_Beaver_Dam_Creek,184,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,MECHANICSVILLE,CS ARMY OF NORTHERN VIRGINIA,Confederacy,A,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee,US ARMY OF THE POTOMAC,USA,PORTER,http://en.wikipedia.org/wiki/Fitz_John_Porter
Battle_of_Gaines%27s_Mill,185,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,GAINES'S MILL,CS ARMY OF NORTHERN VIRGINIA,Confederacy,A,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee,US ARMY OF THE POTOMAC,USA,PORTER,http://en.wikipedia.org/wiki/Fitz_John_Porter
Battle_of_Savage%27s_Station Battle_of_White_Oak_Swamp Battle_of_Glendale ,186,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,GLENDALE-FRAYSER'S FARM,CS ARMY OF NORTHERN VIRGINIA,Confederacy,A,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee,US ARMY OF THE POTOMAC,USA,"SUMNER, HEINTZELMAN & PORTER",http://en.wikipedia.org/wiki/Edwin_V._Sumner http://en.wikipedia.org/wiki/Samuel_P._Heintzelman http://en.wikipedia.org/wiki/Fitz_John_Porter
Battle_of_Malvern_Hill,187,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,MALVERN HILL,CS ARMY OF NORTHERN VIRGINIA,Confederacy,A,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee,US ARMY OF THE POTOMAC,USA,MCCLELLAN,http://en.wikipedia.org/wiki/George_B._McClellan
Battle_of_Cedar_Mountain,188,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,CEDAR MOUNTAIN,US ARMY OF VIRGINIA(-),USA,B,BANKS,http://en.wikipedia.org/wiki/Nathaniel_P._Banks,CS ARMY OF NORTHERN VIRGINIA,Confederacy,JACKSON,http://en.wikipedia.org/wiki/Stonewall_Jackson
Second_Battle_of_Bull_Run,189,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,SECOND BULL RUN (MANASSAS),US ARMY OF VIRGINIA(+),USA,B,POPE,http://en.wikipedia.org/wiki/John_Pope_(military_officer),CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
Battle_of_South_Mountain,190,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,SOUTH MOUNTAIN,US ARMY OF THE POTOMAC,USA,B,MCCLELLAN,http://en.wikipedia.org/wiki/George_B._McClellan,CS ARMY OF NORTHERN VIRGINIA (-),Confederacy,D. H. HILL,http://en.wikipedia.org/wiki/D.H._Hill
Battle_of_Antietam,191,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,ANTIETAM (SHARPSBURG),US ARMY OF THE POTOMAC,USA,B,MCCLELLAN,http://en.wikipedia.org/wiki/George_B._McClellan,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
Second_Battle_of_Corinth,192,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,CORINTH,US ARMY OF THE MISSISSIPPI,USA,B,ROSECRANS,http://en.wikipedia.org/wiki/William_Rosecrans,CS ARMY OF WESTERN TENNESSEE,Confederacy,VAN DORN,http://en.wikipedia.org/wiki/Earl_Van_Dorn
Battle_of_Perryville,193,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,PERRYVILLE,US ARMY OF THE OHIO,USA,B,BUELL,http://en.wikipedia.org/wiki/Battle_of_Perryville,CS ARMY OF TENNESSEE (-),Confederacy,BRAGG,http://en.wikipedia.org/wiki/Braxton_Bragg
Battle_of_Fredericksburg,194,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,FREDERICKSBURG,US ARMY OF THE POTOMAC,USA,B,BURNSIDE,http://en.wikipedia.org/wiki/Ambrose_Burnside,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
Battle_of_Stones_River,195,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,MURFREESBORO (STONE'S RIVER),CS ARMY OF TENNESSEE,Confederacy,A,BRAGG,http://en.wikipedia.org/wiki/Braxton_Bragg,US ARMY OF THE CUMBERLAND,USA,ROSECRANS,http://en.wikipedia.org/wiki/William_Rosecrans
Battle_of_Chancellorsville,196,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,CHANCELLORSVILLE,US ARMY OF THE POTOMAC,USA,B,HOOKER,http://en.wikipedia.org/wiki/Joseph_Hooker,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
Battle_of_Champion_Hill,197,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,CHAMPION'S HILL,US ARMY,USA,B,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant,CS ARMY,Confederacy,PEMBERTON,http://en.wikipedia.org/wiki/John_C._Pemberton
Battle_of_Brandy_Station,198,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,BRANDY STATION,US CAVALRY CORPS,USA,B,PLEASANTON,http://en.wikipedia.org/wiki/Alfred_Pleasonton,CS CAVALRY CORPS,Confederacy,STUART,http://en.wikipedia.org/wiki/J.E.B._Stuart
Battle_of_Gettysburg,199,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,GETTYSBURG,CS ARMY OF NORTHERN VIRGINIA,Confederacy,A,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee,US ARMY OF THE POTOMAC,USA,MEADE,http://en.wikipedia.org/wiki/George_G._Meade
Battle_of_Chickamauga,200,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,CHICKAMAUGA,CS ARMY OF TENNESSEE,Confederacy,A,BRAGG,http://en.wikipedia.org/wiki/Braxton_Bragg,US ARMY OF THE CUMBERLAND,USA,ROSECRANS,http://en.wikipedia.org/wiki/William_Rosecrans
Chattanooga_Campaign,201,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,CHATTANOOGA,US ARMY OF THE CUMBERLAND,USA,B,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant,CS ARMY OF TENNESSEE,Confederacy,BRAGG,http://en.wikipedia.org/wiki/Braxton_Bragg
Battle_of_the_Wilderness,202,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,THE WILDERNESS,US ARMY OF THE POTOMAC,USA,B,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
Battle_of_Spotsylvania_Court_House,203,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,SPOTSYLVANIA,US ARMY OF THE POTOMAC,USA,B,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
Battle_of_New_Market,204,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,NEW MARKET,CS ARMY OF NORTHERN VIRGINIA,Confederacy,A,BRECKINRIDGE,http://en.wikipedia.org/wiki/John_C._Breckinridge,US ARMY OF THE POTOMAC,USA,SIGEL,http://en.wikipedia.org/wiki/Franz_Sigel
Battle_of_Cold_Harbor,205,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,COLD HARBOR,US ARMY OF THE POTOMAC(+),USA,B,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
Battle_of_Kennesaw_Mountain,206,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,KENESAW MOUNTAIN,US ARMY OF THE CUMBERLAND,USA,B,SHERMAN,,CS ARMY OF TENNESSEE,Confederacy,JOHNSTON,http://en.wikipedia.org/wiki/Joseph_E._Johnston
Battle_of_Peachtree_Creek,207,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,PEACHTREE CREEK,CS ARMY OF TENNESSEE,Confederacy,A,HOOD,http://en.wikipedia.org/wiki/John_Bell_Hood,US ARMY OF THE CUMBERLAND,USA,THOMAS,http://en.wikipedia.org/wiki/George_Henry_Thomas
Battle_of_Atlanta,208,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,ATLANTA,CS ARMY OF TENNESSEE,Confederacy,A,HOOD,http://en.wikipedia.org/wiki/John_Bell_Hood,US ARMY OF THE TENNESSEE,USA,MCPHERSON,http://en.wikipedia.org/wiki/James_B._McPherson
Second_Battle_of_Petersburg,209,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,PETERSBURG,US ARMY OF THE JAMES,USA,B,BUTLER,http://en.wikipedia.org/wiki/Benjamin_Franklin_Butler_(politician),CS PETERSBURG GARRISSON (+),Confederacy,BEAUREGARD,http://en.wikipedia.org/wiki/P.G.T._Beauregard
Battle_of_Globe_Tavern,210,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,GLOBE TAVERN,US V CORPS(+),USA,B,WARREN,http://en.wikipedia.org/wiki/Gouverneur_K._Warren,CS III CORPS (+),Confederacy,HILL,http://en.wikipedia.org/wiki/A._P._Hill
Battle_of_Opequon,211,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,OPEQUON CREEK (THIRD WINCHESTER),US ARMY OF THE SHENANDOAH,USA,B,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan,CS II CORPS,Confederacy,EARLY,http://en.wikipedia.org/wiki/Jubal_Early
Battle_of_Cedar_Creek,212,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,CEDAR CREEK,CS II CORPS,Confederacy,A,EARLY,,US ARMY OF THE SHENANDOAH,USA,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan
Battle_of_Franklin_(1864),213,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,FRANKLIN,CS ARMY OF TENNESSEE,Confederacy,A,HOOD,http://en.wikipedia.org/wiki/John_Bell_Hood,US 4TH & 23RD ARMY CORPS(+),USA,SCHOFIELD,http://en.wikipedia.org/wiki/John_M._Schofield
Battle_of_Nashville,214,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,NASHVILLE,US ARMY OF THE CUMBERLAND(-)(+),USA,B,THOMAS,http://en.wikipedia.org/wiki/George_Henry_Thomas,CS ARMY OF TENNESSEE,Confederacy,HOOD,http://en.wikipedia.org/wiki/John_Bell_Hood
Battle_of_Bentonville,215,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,BENTONVILLE,CS ARMY OF TENNESSEE,Confederacy,A,JOHNSTON,http://en.wikipedia.org/wiki/Joseph_E._Johnston,US ARMY OF GEORGIA (-),USA,SHERMAN,http://en.wikipedia.org/wiki/William_Tecumseh_Sherman
Battle_of_Dinwiddie_Court_House,216,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,US ARMY OF THE POTOMAC(+),USA,B,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan,CS ARMY OF NORTHERN VIRGINIA (ELMS),Confederacy,PICKETT,http://en.wikipedia.org/wiki/George_Pickett
Battle_of_Five_Forks,217,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,FIVE FORKS,US V CORPS,USA,B,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan,CS PICKETT'S DIV (+),Confederacy,PICKETT,http://en.wikipedia.org/wiki/George_Pickett
Battle_of_Selma,218,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,SELMA,US CAV CORPS MIL DIV MISSISSIPPI,USA,B,WILSON,http://en.wikipedia.org/wiki/James_H._Wilson,CS CAV CORPS (ELMS),Confederacy,FORREST,http://en.wikipedia.org/wiki/Nathan_Bedford_Forrest
Battle_of_Sayler%27s_Creek,219,AMERICAN CIVIL WAR,U.S. Civil War of 1861-1865,,SAYLOR'S CREEK,US VI CORPS(+),USA,B,SHERIDAN & WRIGHT,http://en.wikipedia.org/wiki/Philip_Sheridan ,CS ARMY OF NORTHERN VIRGINIA (ELMS),Confederacy,EWELL & ANDERSON,http://en.wikipedia.org/wiki/Richard_S._Ewell
Battle_of_Wissembourg_(1870),220,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,WEISSENBURG,GER 3RD ARMY,Germany,B,FRIEDRICH WILHELM,"http://en.wikipedia.org/wiki/Frederick_III,_German_Emperor",FR I CORPS (-),France,DOUAY,http://en.wikipedia.org/wiki/Abel_Douay
Battle_of_Wörth_(1870),221,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,FROESCHWILLER,GER 3RD ARMY,Germany,B,FRIEDRICH WILHELM,"http://en.wikipedia.org/wiki/Frederick_III,_German_Emperor",FR ARMY OF ALSACE,France,MACMAHON,http://en.wikipedia.org/wiki/Patrice_de_Mac-Mahon
Battle_of_Spicheren,222,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,SPICHERN,GER 1ST ARMY(+),Germany,B,STEINMETZ,http://en.wikipedia.org/wiki/Karl_Friedrich_von_Steinmetz,FR 2ND CORPS,France,FROSSARD,http://en.wikipedia.org/wiki/Charles_Auguste_Frossard
Battle_of_Mars-la-Tour,223,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,MARS LA TOUR,GER 1ST & 2ND ARMIES,Germany,B,MOLTKE,http://en.wikipedia.org/wiki/Helmuth_Karl_Bernhard_von_Moltke,FR ARMY OF LORRAINE,France,BAZAINE,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Achille_Bazaine
Battle_of_Gravelotte,224,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,GRAVELOTTE-ST. PRIVAT,GER 1ST & 2ND ARMIES,Germany,B,MOLTKE,http://en.wikipedia.org/wiki/Helmuth_Karl_Bernhard_von_Moltke,FR ARMY OF LORRAINE,France,BAZAINE,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Achille_Bazaine
Battle_of_Sedan_(1870),225,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,SEDAN,GER 2ND & 3RD ARMIES,Germany,B,MOLTKE,http://en.wikipedia.org/wiki/Helmuth_Karl_Bernhard_von_Moltke,FR ARMY OF ALSACE,France,MACMAHON (WIMPFEN),"http://en.wikipedia.org/wiki/Patrice_de_Mac-Mahon,_duc_de_Magenta"
Battle_of_Coulmiers,226,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,COULMIERS,FR ARMY OF THE LOIRE,France,A,AURELLE,http://en.wikipedia.org/wiki/Louis_Jean-Baptiste_d%27Aurelle_de_Paladines,BAV I CORPS,Germany,VON DER TANN,http://en.wikipedia.org/wiki/Ludwig_Freiherr_von_und_zu_der_Tann-Rathsamhausen
Second_Battle_of_Orléans_(1870),227,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,ORLEANS,GER 2ND ARMY,Germany,B,FRIEDRICH KARL,http://en.wikipedia.org/wiki/Prince_Friedrich_Karl_of_Prussia_(1828-1885),FR ARMY OF THE LOIRE,France,AURELLE,http://en.wikipedia.org/wiki/Louis_Jean-Baptiste_d%27Aurelle_de_Paladines
Battle_of_Le_Mans,228,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,LE MANS,GER 2ND ARMY,Germany,B,FRIEDRICK KARL,http://en.wikipedia.org/wiki/Prince_Friedrich_Karl_of_Prussia_(1828-1885),FR ARMY OF THE LOIRE,France,CHANZY,http://en.wikipedia.org/wiki/Antoine_Chanzy
Siege_of_Belfort,229,FRANCO-PRUSSIAN WAR,Franco-Prussian War of 1870-1871,,BELFORT,FR ARMY OF THE EAST,France,A,BOURBAKI,http://en.wikipedia.org/wiki/Charles_Denis_Bourbaki,GER ARMY OF THE SOUTH,Germany,WERDER,http://en.wikipedia.org/wiki/August_von_Werder
Battle_of_Isandlwana,230,ZULU WAR,Second British-Zulu War of 1879,,ISANDHLWANA,ZULU ARMY,Zulu,B,MAVUMENGWANA & TSHINGWAYO,http://en.wikipedia.org/wiki/Ntshingwayo_Khoza,BR 24TH REGT. (+),Great Britain,PULLEINE,http://en.wikipedia.org/wiki/Henry_Pulleine
Battle_of_Ulundi,231,ZULU WAR,Second British-Zulu War of 1879,,ULUNDI,ZULU ARMY,Zulu,B,CETEWAYO,,BR ARMY,Great Britain,CHELMSFORD,"http://en.wikipedia.org/wiki/Frederic_Augustus_Thesiger,_2nd_Baron_Chelmsford"
Battle_of_Majuba_Hill,232,TRANSVAAL REVOLT,First Boer War of 1880-1881,,MAJUBA HILL,BOER ARMY,South African Republic,A,SMIDT,http://en.wikipedia.org/wiki/Nicolas_Smit,BR ARMY,Great Britain,COLLEY,http://en.wikipedia.org/wiki/George_Pomeroy_Colley
Battle_of_Tel_el-Kebir,233,EGYPT AND THE SUDAN,Conquest of Egypt of 1882,,TEL EL-KEBIR,BR ARMY,Great Britain,A,WOLSELEY,"http://en.wikipedia.org/wiki/Garnet_Wolseley,_1st_Viscount_Wolseley",EG ARMY,Egypt,ARABI,http://en.wikipedia.org/wiki/Ahmed_Urabi
Battle_of_Omdurman,234,EGYPT AND THE SUDAN,Second Second British-Mahdi War of 1896-1899,,OMDURMAN,MAHDISTS,Mahdists,B,ABDULLAHINI,http://en.wikipedia.org/wiki/Abdullah_al-Taashi,BR ARMY,Great Britain,KITCHENER,"http://en.wikipedia.org/wiki/Herbert_Kitchener,_1st_Earl_Kitchener"
Battle_of_Adwa,235,ITALO-ETHIOPIAN WAR,Second Italian-Ethiopian War of 1895-1896,,ADOWA,ETH ARMY,Ethiopia,B,MENELIK II,http://en.wikipedia.org/wiki/Menelik_II_of_Ethiopia,IT ARMY,Italy,BARATIERI,http://en.wikipedia.org/wiki/Oreste_Baratieri
Battle_of_Modder_River,236,BOER WAR,Second Boer War of 1899-1902,,MODDER RIVER,BR ARMY,Great Britain,B,METHUEN,"http://en.wikipedia.org/wiki/Paul_Sanford_Methuen,_3rd_Baron_Methuen",BOER ARMY,South African Republic,CRONJE & DE LA REY,http://en.wikipedia.org/wiki/Piet_Cronje http://en.wikipedia.org/wiki/Koos_de_la_Rey
Battle_of_Magersfontein,237,BOER WAR,Second Boer War of 1899-1902,,MAGERSFONTEIN,BR ARMY,Great Britain,B,METHUEN,"http://en.wikipedia.org/wiki/Paul_Sanford_Methuen,_3rd_Baron_Methuen",BOER ARMY,South African Republic,CRONJE,http://en.wikipedia.org/wiki/Piet_Cronje
Battle_of_Colenso,238,BOER WAR,Second Boer War of 1899-1902,,COLENSO,BR ARMY,Great Britain,B,BULLER,http://en.wikipedia.org/wiki/Redvers_Buller,BOER ARMY,South African Republic,BOTHA,http://en.wikipedia.org/wiki/Louis_Botha
Battle_of_Spion_Kop,239,BOER WAR,Second Boer War of 1899-1902,,SPION KOP,BR ARMY,Great Britain,B,BULLER,http://en.wikipedia.org/wiki/Redvers_Buller,BOER ARMY,South African Republic,JOUBERT,
Battle_of_Paardeberg,240,BOER WAR,Second Boer War of 1899-1902,,PAARDEBURG,BR ARMY,Great Britain,B,ROBERTS,"http://en.wikipedia.org/wiki/Frederick_Roberts,_1st_Earl_Roberts",BOER ARMY,South African Republic,CRONJE,http://en.wikipedia.org/wiki/Piet_Cronje
