,isqno,attacker,war,battle,name,cdb13_actors,commanders,uri
324,150,1,LATIN AMERICAN WARS OF INDEPENDENCE,BOYACA,PATRIOT ARMY,Independentalists,BOLIVAR,http://en.wikipedia.org/wiki/Sim%C3%B3n_Antonio_Bol%C3%ADvar
325,151,0,LATIN AMERICAN WARS OF INDEPENDENCE,CARABOBO,SP ARMY,Spain,LA TORRE,http://en.wikipedia.org/wiki/Miguel_de_la_Torre
326,151,1,LATIN AMERICAN WARS OF INDEPENDENCE,CARABOBO,PATRIOT ARMY,Independentalists,BOLIVAR,http://en.wikipedia.org/wiki/Sim%C3%B3n_Antonio_Bol%C3%ADvar
327,152,0,LATIN AMERICAN WARS OF INDEPENDENCE,BOMBONA,SP ARMY,Spain,GARCIA,
328,152,1,LATIN AMERICAN WARS OF INDEPENDENCE,BOMBONA,PATRIOT ARMY,Independentalists,BOLIVAR,http://en.wikipedia.org/wiki/Sim%C3%B3n_Antonio_Bol%C3%ADvar
329,153,0,LATIN AMERICAN WARS OF INDEPENDENCE,PICHINCHA,PATRIOT ARMY,Independentalists,SUCRE,http://en.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre
330,153,1,LATIN AMERICAN WARS OF INDEPENDENCE,PICHINCHA,SP ARMY,Spain,AYMERICH,http://en.wikipedia.org/wiki/Melchor_Aymerich
331,154,0,LATIN AMERICAN WARS OF INDEPENDENCE,JUNIN,SP ARMY,Spain,CANTERAC,http://en.wikipedia.org/wiki/Jos%C3%A9_de_Canterac
332,154,1,LATIN AMERICAN WARS OF INDEPENDENCE,JUNIN,PATRIOT ARMY,Independentalists,BOLIVAR,http://en.wikipedia.org/wiki/Sim%C3%B3n_Antonio_Bol%C3%ADvar
333,155,0,LATIN AMERICAN WARS OF INDEPENDENCE,AYACUCHO,PATRIOT ARMY,Independentalists,SUCRE,http://en.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre
334,155,1,LATIN AMERICAN WARS OF INDEPENDENCE,AYACUCHO,SP ARMY,Spain,LA SERNA,http://en.wikipedia.org/wiki/Jos%C3%A9_de_la_Serna
335,156,0,WAR OF TEXAN INDEPENDENCE,SAN JACINTO,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
336,156,1,WAR OF TEXAN INDEPENDENCE,SAN JACINTO,TEXAN VOL ARMY,Texas,HOUSTON,http://en.wikipedia.org/wiki/Sam_Houston
337,157,0,US-MEXICAN WAR,PALO ALTO,MEX ARMY,Mexico,ARISTA,http://en.wikipedia.org/wiki/Mariano_Arista
338,157,1,US-MEXICAN WAR,PALO ALTO,US ARMY,USA,TAYLOR,http://en.wikipedia.org/wiki/Zachary_Taylor
339,158,0,US-MEXICAN WAR,RESACA DE LA PALMA,MEX ARMY,Mexico,ARISTA,http://en.wikipedia.org/wiki/Mariano_Arista
340,158,1,US-MEXICAN WAR,RESACA DE LA PALMA,US ARMY,USA,TAYLOR,http://en.wikipedia.org/wiki/Zachary_Taylor
341,159,0,US-MEXICAN WAR,BUENA VISTA,US ARMY,USA,TAYLOR,http://en.wikipedia.org/wiki/Zachary_Taylor
342,159,1,US-MEXICAN WAR,BUENA VISTA,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
343,160,0,US-MEXICAN WAR,CERRO GORDO,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
344,160,1,US-MEXICAN WAR,CERRO GORDO,US ARMY,USA,SCOTT,http://en.wikipedia.org/wiki/Winfield_Scott
345,161,0,US-MEXICAN WAR,CONTRERAS,MEX ARMY,Mexico,VALENCIA,http://en.wikipedia.org/wiki/Gabriel_Valencia
346,161,1,US-MEXICAN WAR,CONTRERAS,US ARMY,USA,PILLOW,http://en.wikipedia.org/wiki/Gideon_Johnson_Pillow
347,162,0,US-MEXICAN WAR,CHURUBUSCO,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
348,162,1,US-MEXICAN WAR,CHURUBUSCO,US ARMY,USA,SCOTT,http://en.wikipedia.org/wiki/Winfield_Scott
349,163,0,US-MEXICAN WAR,MOLINO DEL REY,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
350,163,1,US-MEXICAN WAR,MOLINO DEL REY,US ARMY,USA,WORTH,http://en.wikipedia.org/wiki/William_J._Worth
351,164,0,US-MEXICAN WAR,CHAPULTEPEC,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
352,164,1,US-MEXICAN WAR,CHAPULTEPEC,US ARMY,USA,SCOTT,http://en.wikipedia.org/wiki/Winfield_Scott
353,165,0,CRIMEAN WAR,THE ALMA,RUSS ARMY,Russia,MENSHIKOV,http://en.wikipedia.org/wiki/Aleksandr_Sergeyevich_Menshikov
354,165,1,CRIMEAN WAR,THE ALMA,"BR, FR & TURK ARMIES",Great Britain & France,RAGLAN,http://en.wikipedia.org/wiki/Jacques_Leroy_de_Saint_Arnaud
355,165,1,CRIMEAN WAR,THE ALMA,"BR, FR & TURK ARMIES",Great Britain & France,SAINT-ARNAUD,"http://en.wikipedia.org/wiki/Fitzroy_Somerset,_1st_Lord_Raglan"
356,166,0,CRIMEAN WAR,INKERMAN,BR & FR ARMY,Great Britain & France,RAGLAN,http://en.wikipedia.org/wiki/Jacques_Leroy_de_Saint_Arnaud
357,166,0,CRIMEAN WAR,INKERMAN,BR & FR ARMY,Great Britain & France,CANROBERT,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Certain_Canrobert
358,166,1,CRIMEAN WAR,INKERMAN,RUSS ARMY,Russia,MENSHIKOV,http://en.wikipedia.org/wiki/Aleksandr_Sergeyevich_Menshikov
359,167,0,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,MAGENTA,AUS ARMY,Austria,GYULAI,http://en.wikipedia.org/wiki/Ferenc_Gyulay
360,167,1,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,MAGENTA,FR & PIED ARMY,France,NAPOLEON III,http://en.wikipedia.org/wiki/Napoleon_III_of_France
361,168,0,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,SOLFERINO,AUS ARMY,Austria,FRANZ JOSEPH I,http://en.wikipedia.org/wiki/Franz_Joseph_of_Austria
362,168,1,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,SOLFERINO,FR & PIED ARMY,France,NAPOLEON III,http://en.wikipedia.org/wiki/Napoleon_III_of_France
363,169,0,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,SADOWA (KOENIGGRATZ),AUS & SAX ARMY,Austria,BENEDEK,http://en.wikipedia.org/wiki/Ludwig_von_Benedek
364,169,1,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,SADOWA (KOENIGGRATZ),PR ARMY GROUP,Prussia,MOLTKE,http://en.wikipedia.org/wiki/Helmuth_Karl_Bernhard_von_Moltke
365,170,0,AUSTRO-ITALIAN WAR,CUSTOZZA II,AUS ARMY,Austria,ARCHDUKE ALBERT,http://en.wikipedia.org/wiki/Archduke_Albert_(1817-1895)
366,170,1,AUSTRO-ITALIAN WAR,CUSTOZZA II,ITAL ARMY,Italy,LA MARMORA,http://en.wikipedia.org/wiki/Alfonso_Ferrero_la_Marmora
367,171,0,AMERICAN CIVIL WAR,FIRST BULL RUN (MANASSAS),CS ARMY,Confederacy,BEAUREGARD,http://en.wikipedia.org/wiki/P._G._T._Beauregard
368,171,0,AMERICAN CIVIL WAR,FIRST BULL RUN (MANASSAS),CS ARMY,Confederacy,JOHNSTON,http://en.wikipedia.org/wiki/Joseph_E._Johnstonhttp://en.wikipedia.org/wiki/Joseph_E._Johnstonhttp://en.wikipedia.org/wiki/Joseph_E._Johnston
369,171,1,AMERICAN CIVIL WAR,FIRST BULL RUN (MANASSAS),US ARMY,USA,MACDOWELL,http://en.wikipedia.org/wiki/Irvin_McDowell
370,172,0,AMERICAN CIVIL WAR,WILSON'S CREEK,CS ARMY,Confederacy,MCCULLOCH,http://en.wikipedia.org/wiki/Ben_McCulloch
371,172,1,AMERICAN CIVIL WAR,WILSON'S CREEK,US ARMY,USA,LYON,http://en.wikipedia.org/wiki/Nathaniel_Lyon
372,173,0,AMERICAN CIVIL WAR,BELMONT,CS ARMY,Confederacy,POLK,http://en.wikipedia.org/wiki/Leonidas_Polk
373,173,1,AMERICAN CIVIL WAR,BELMONT,US ARMY,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
374,174,0,AMERICAN CIVIL WAR,MILL SPRINGS,US ARMY,USA,THOMAS,http://en.wikipedia.org/wiki/George_B._Crittenden
375,174,1,AMERICAN CIVIL WAR,MILL SPRINGS,CS ARMY,Confederacy,ZOLLICOFFER,http://en.wikipedia.org/wiki/Felix_Zollicoffer
376,175,0,AMERICAN CIVIL WAR,FORT DONELSON,US ARMY,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
377,175,1,AMERICAN CIVIL WAR,FORT DONELSON,CS ARMY,Confederacy,FLOYD,http://en.wikipedia.org/wiki/John_B._Floyd
378,176,0,AMERICAN CIVIL WAR,PEA RIDGE,US ARMY OF THE SOUTHWEST,USA,CURTIS,http://en.wikipedia.org/wiki/Samuel_Ryan_Curtis
379,176,1,AMERICAN CIVIL WAR,PEA RIDGE,CS ARMY,Confederacy,VAN DORN,http://en.wikipedia.org/wiki/Earl_Van_Dorn
380,177,0,AMERICAN CIVIL WAR,KERNSTOWN,US ARMY,USA,SHIELDS,http://en.wikipedia.org/wiki/James_Shields
381,177,1,AMERICAN CIVIL WAR,KERNSTOWN,CS ARMY,Confederacy,JACKSON,http://en.wikipedia.org/wiki/Stonewall_Jackson
382,178,0,AMERICAN CIVIL WAR,SHILOH,US ARMIES OF THE TENNESSEE AND OHIO,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
383,178,1,AMERICAN CIVIL WAR,SHILOH,CS ARMY OF MISSISSIPPI,Confederacy,A. S. JOHNSTON,http://en.wikipedia.org/wiki/Albert_Sidney_Johnston
384,179,0,AMERICAN CIVIL WAR,FRONT ROYAL,US 1ST MARYLAND REGIMENT,USA,KENLY,http://en.wikipedia.org/wiki/John_Reese_Kenly
385,179,1,AMERICAN CIVIL WAR,FRONT ROYAL,CS VALLEY ARMY,Confederacy,JACKSON,http://en.wikipedia.org/wiki/Robert_E._Lee
386,180,0,AMERICAN CIVIL WAR,FIRST WINCHESTER,US V CORPS,USA,BANKS,http://en.wikipedia.org/wiki/Nathaniel_P._Banks
387,180,1,AMERICAN CIVIL WAR,FIRST WINCHESTER,CS VALLEY ARMY,Confederacy,JACKSON,http://en.wikipedia.org/wiki/Stonewall_Jackson
388,181,0,AMERICAN CIVIL WAR,CROSS KEYS,CS VALLEY ARMY,Confederacy,EWELL,http://en.wikipedia.org/wiki/John_C._Fr%C3%A9mont
389,181,1,AMERICAN CIVIL WAR,CROSS KEYS,US ARMY OF W. VA.,USA,FREMONT,http://en.wikipedia.org/wiki/John_C._Fr%C3%A9mont
390,182,0,AMERICAN CIVIL WAR,PORT REPUBLIC,US V CORPS,USA,TYLER,http://en.wikipedia.org/wiki/Erastus_B._Tyler
391,182,1,AMERICAN CIVIL WAR,PORT REPUBLIC,CS VALLEY ARMY,Confederacy,JACKSON,http://en.wikipedia.org/wiki/Stonewall_Jackson
392,183,0,AMERICAN CIVIL WAR,SEVEN PINES (FAIR OAKS),US ARMY OF THE POTOMAC,USA,MCCLELLAN,http://en.wikipedia.org/wiki/George_B._McClellan
393,183,1,AMERICAN CIVIL WAR,SEVEN PINES (FAIR OAKS),CS ARMY,Confederacy,J. E. JOHNSTON,http://en.wikipedia.org/wiki/Joseph_E._Johnston
394,183,1,AMERICAN CIVIL WAR,SEVEN PINES (FAIR OAKS),CS ARMY,Confederacy,SMITH,http://en.wikipedia.org/wiki/Gustavus_Woodson_Smith
395,184,0,AMERICAN CIVIL WAR,MECHANICSVILLE,US ARMY OF THE POTOMAC,USA,PORTER,http://en.wikipedia.org/wiki/Fitz_John_Porter
396,184,1,AMERICAN CIVIL WAR,MECHANICSVILLE,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
397,185,0,AMERICAN CIVIL WAR,GAINES'S MILL,US ARMY OF THE POTOMAC,USA,PORTER,http://en.wikipedia.org/wiki/Fitz_John_Porter
398,185,1,AMERICAN CIVIL WAR,GAINES'S MILL,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
399,186,0,AMERICAN CIVIL WAR,GLENDALE-FRAYSER'S FARM,US ARMY OF THE POTOMAC,USA,SUMNER,http://en.wikipedia.org/wiki/Edwin_V._Sumner
400,186,0,AMERICAN CIVIL WAR,GLENDALE-FRAYSER'S FARM,US ARMY OF THE POTOMAC,USA,HEINTZELMAN,http://en.wikipedia.org/wiki/Samuel_P._Heintzelman
401,186,0,AMERICAN CIVIL WAR,GLENDALE-FRAYSER'S FARM,US ARMY OF THE POTOMAC,USA,PORTER,http://en.wikipedia.org/wiki/Fitz_John_Porter
402,186,1,AMERICAN CIVIL WAR,GLENDALE-FRAYSER'S FARM,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
403,187,0,AMERICAN CIVIL WAR,MALVERN HILL,US ARMY OF THE POTOMAC,USA,MCCLELLAN,http://en.wikipedia.org/wiki/George_B._McClellan
404,187,1,AMERICAN CIVIL WAR,MALVERN HILL,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
405,188,0,AMERICAN CIVIL WAR,CEDAR MOUNTAIN,CS ARMY OF NORTHERN VIRGINIA,Confederacy,JACKSON,http://en.wikipedia.org/wiki/Stonewall_Jackson
406,188,1,AMERICAN CIVIL WAR,CEDAR MOUNTAIN,US ARMY OF VIRGINIA(-),USA,BANKS,http://en.wikipedia.org/wiki/Nathaniel_P._Banks
407,189,0,AMERICAN CIVIL WAR,SECOND BULL RUN (MANASSAS),CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
408,189,1,AMERICAN CIVIL WAR,SECOND BULL RUN (MANASSAS),US ARMY OF VIRGINIA(+),USA,POPE,http://en.wikipedia.org/wiki/John_Pope_(military_officer)
409,190,0,AMERICAN CIVIL WAR,SOUTH MOUNTAIN,CS ARMY OF NORTHERN VIRGINIA (-),Confederacy,D. H. HILL,http://en.wikipedia.org/wiki/D.H._Hill
410,190,1,AMERICAN CIVIL WAR,SOUTH MOUNTAIN,US ARMY OF THE POTOMAC,USA,MCCLELLAN,http://en.wikipedia.org/wiki/George_B._McClellan
411,191,0,AMERICAN CIVIL WAR,ANTIETAM (SHARPSBURG),CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
412,191,1,AMERICAN CIVIL WAR,ANTIETAM (SHARPSBURG),US ARMY OF THE POTOMAC,USA,MCCLELLAN,http://en.wikipedia.org/wiki/George_B._McClellan
413,192,0,AMERICAN CIVIL WAR,CORINTH,CS ARMY OF WESTERN TENNESSEE,Confederacy,VAN DORN,http://en.wikipedia.org/wiki/Earl_Van_Dorn
414,192,1,AMERICAN CIVIL WAR,CORINTH,US ARMY OF THE MISSISSIPPI,USA,ROSECRANS,http://en.wikipedia.org/wiki/William_Rosecrans
415,193,0,AMERICAN CIVIL WAR,PERRYVILLE,CS ARMY OF TENNESSEE (-),Confederacy,BRAGG,http://en.wikipedia.org/wiki/Braxton_Bragg
416,193,1,AMERICAN CIVIL WAR,PERRYVILLE,US ARMY OF THE OHIO,USA,BUELL,http://en.wikipedia.org/wiki/Battle_of_Perryville
417,194,0,AMERICAN CIVIL WAR,FREDERICKSBURG,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
418,194,1,AMERICAN CIVIL WAR,FREDERICKSBURG,US ARMY OF THE POTOMAC,USA,BURNSIDE,http://en.wikipedia.org/wiki/Ambrose_Burnside
419,195,0,AMERICAN CIVIL WAR,MURFREESBORO (STONE'S RIVER),US ARMY OF THE CUMBERLAND,USA,ROSECRANS,http://en.wikipedia.org/wiki/William_Rosecrans
420,195,1,AMERICAN CIVIL WAR,MURFREESBORO (STONE'S RIVER),CS ARMY OF TENNESSEE,Confederacy,BRAGG,http://en.wikipedia.org/wiki/Braxton_Bragg
421,196,0,AMERICAN CIVIL WAR,CHANCELLORSVILLE,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
422,196,1,AMERICAN CIVIL WAR,CHANCELLORSVILLE,US ARMY OF THE POTOMAC,USA,HOOKER,http://en.wikipedia.org/wiki/Joseph_Hooker
423,197,0,AMERICAN CIVIL WAR,CHAMPION'S HILL,CS ARMY,Confederacy,PEMBERTON,http://en.wikipedia.org/wiki/John_C._Pemberton
424,197,1,AMERICAN CIVIL WAR,CHAMPION'S HILL,US ARMY,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
425,198,0,AMERICAN CIVIL WAR,BRANDY STATION,CS CAVALRY CORPS,Confederacy,STUART,http://en.wikipedia.org/wiki/J.E.B._Stuart
426,198,1,AMERICAN CIVIL WAR,BRANDY STATION,US CAVALRY CORPS,USA,PLEASANTON,http://en.wikipedia.org/wiki/Alfred_Pleasonton
427,199,0,AMERICAN CIVIL WAR,GETTYSBURG,US ARMY OF THE POTOMAC,USA,MEADE,http://en.wikipedia.org/wiki/George_G._Meade
428,199,1,AMERICAN CIVIL WAR,GETTYSBURG,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
429,200,0,AMERICAN CIVIL WAR,CHICKAMAUGA,US ARMY OF THE CUMBERLAND,USA,ROSECRANS,http://en.wikipedia.org/wiki/William_Rosecrans
430,200,1,AMERICAN CIVIL WAR,CHICKAMAUGA,CS ARMY OF TENNESSEE,Confederacy,BRAGG,http://en.wikipedia.org/wiki/Braxton_Bragg
431,201,0,AMERICAN CIVIL WAR,CHATTANOOGA,CS ARMY OF TENNESSEE,Confederacy,BRAGG,http://en.wikipedia.org/wiki/Braxton_Bragg
432,201,1,AMERICAN CIVIL WAR,CHATTANOOGA,US ARMY OF THE CUMBERLAND,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
433,202,0,AMERICAN CIVIL WAR,THE WILDERNESS,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
434,202,1,AMERICAN CIVIL WAR,THE WILDERNESS,US ARMY OF THE POTOMAC,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
435,203,0,AMERICAN CIVIL WAR,SPOTSYLVANIA,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
436,203,1,AMERICAN CIVIL WAR,SPOTSYLVANIA,US ARMY OF THE POTOMAC,USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
437,204,0,AMERICAN CIVIL WAR,NEW MARKET,US ARMY OF THE POTOMAC,USA,SIGEL,http://en.wikipedia.org/wiki/Franz_Sigel
438,204,1,AMERICAN CIVIL WAR,NEW MARKET,CS ARMY OF NORTHERN VIRGINIA,Confederacy,BRECKINRIDGE,http://en.wikipedia.org/wiki/John_C._Breckinridge
439,205,0,AMERICAN CIVIL WAR,COLD HARBOR,CS ARMY OF NORTHERN VIRGINIA,Confederacy,LEE,http://en.wikipedia.org/wiki/Robert_E._Lee
440,205,1,AMERICAN CIVIL WAR,COLD HARBOR,US ARMY OF THE POTOMAC(+),USA,GRANT,http://en.wikipedia.org/wiki/Ulysses_S._Grant
441,206,0,AMERICAN CIVIL WAR,KENESAW MOUNTAIN,CS ARMY OF TENNESSEE,Confederacy,JOHNSTON,http://en.wikipedia.org/wiki/Joseph_E._Johnston
442,206,1,AMERICAN CIVIL WAR,KENESAW MOUNTAIN,US ARMY OF THE CUMBERLAND,USA,SHERMAN,
443,207,0,AMERICAN CIVIL WAR,PEACHTREE CREEK,US ARMY OF THE CUMBERLAND,USA,THOMAS,http://en.wikipedia.org/wiki/George_Henry_Thomas
444,207,1,AMERICAN CIVIL WAR,PEACHTREE CREEK,CS ARMY OF TENNESSEE,Confederacy,HOOD,http://en.wikipedia.org/wiki/John_Bell_Hood
445,208,0,AMERICAN CIVIL WAR,ATLANTA,US ARMY OF THE TENNESSEE,USA,MCPHERSON,http://en.wikipedia.org/wiki/James_B._McPherson
446,208,1,AMERICAN CIVIL WAR,ATLANTA,CS ARMY OF TENNESSEE,Confederacy,HOOD,http://en.wikipedia.org/wiki/John_Bell_Hood
447,209,0,AMERICAN CIVIL WAR,PETERSBURG,CS PETERSBURG GARRISSON (+),Confederacy,BEAUREGARD,http://en.wikipedia.org/wiki/P.G.T._Beauregard
448,209,1,AMERICAN CIVIL WAR,PETERSBURG,US ARMY OF THE JAMES,USA,BUTLER,http://en.wikipedia.org/wiki/Benjamin_Franklin_Butler_(politician)
449,210,0,AMERICAN CIVIL WAR,GLOBE TAVERN,CS III CORPS (+),Confederacy,HILL,http://en.wikipedia.org/wiki/A._P._Hill
450,210,1,AMERICAN CIVIL WAR,GLOBE TAVERN,US V CORPS(+),USA,WARREN,http://en.wikipedia.org/wiki/Gouverneur_K._Warren
451,211,0,AMERICAN CIVIL WAR,OPEQUON CREEK (THIRD WINCHESTER),CS II CORPS,Confederacy,EARLY,http://en.wikipedia.org/wiki/Jubal_Early
452,211,1,AMERICAN CIVIL WAR,OPEQUON CREEK (THIRD WINCHESTER),US ARMY OF THE SHENANDOAH,USA,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan
453,212,0,AMERICAN CIVIL WAR,CEDAR CREEK,US ARMY OF THE SHENANDOAH,USA,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan
454,212,1,AMERICAN CIVIL WAR,CEDAR CREEK,CS II CORPS,Confederacy,EARLY,
455,213,0,AMERICAN CIVIL WAR,FRANKLIN,US 4TH & 23RD ARMY CORPS(+),USA,SCHOFIELD,http://en.wikipedia.org/wiki/John_M._Schofield
456,213,1,AMERICAN CIVIL WAR,FRANKLIN,CS ARMY OF TENNESSEE,Confederacy,HOOD,http://en.wikipedia.org/wiki/John_Bell_Hood
457,214,0,AMERICAN CIVIL WAR,NASHVILLE,CS ARMY OF TENNESSEE,Confederacy,HOOD,http://en.wikipedia.org/wiki/John_Bell_Hood
458,214,1,AMERICAN CIVIL WAR,NASHVILLE,US ARMY OF THE CUMBERLAND(-)(+),USA,THOMAS,http://en.wikipedia.org/wiki/George_Henry_Thomas
459,215,0,AMERICAN CIVIL WAR,BENTONVILLE,US ARMY OF GEORGIA (-),USA,SHERMAN,http://en.wikipedia.org/wiki/William_Tecumseh_Sherman
460,215,1,AMERICAN CIVIL WAR,BENTONVILLE,CS ARMY OF TENNESSEE,Confederacy,JOHNSTON,http://en.wikipedia.org/wiki/Joseph_E._Johnston
461,216,0,AMERICAN CIVIL WAR,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,CS ARMY OF NORTHERN VIRGINIA (ELMS),Confederacy,PICKETT,http://en.wikipedia.org/wiki/George_Pickett
462,216,1,AMERICAN CIVIL WAR,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,US ARMY OF THE POTOMAC(+),USA,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan
463,217,0,AMERICAN CIVIL WAR,FIVE FORKS,CS PICKETT'S DIV (+),Confederacy,PICKETT,http://en.wikipedia.org/wiki/George_Pickett
464,217,1,AMERICAN CIVIL WAR,FIVE FORKS,US V CORPS,USA,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan
465,218,0,AMERICAN CIVIL WAR,SELMA,CS CAV CORPS (ELMS),Confederacy,FORREST,http://en.wikipedia.org/wiki/Nathan_Bedford_Forrest
466,218,1,AMERICAN CIVIL WAR,SELMA,US CAV CORPS MIL DIV MISSISSIPPI,USA,WILSON,http://en.wikipedia.org/wiki/James_H._Wilson
467,219,0,AMERICAN CIVIL WAR,SAYLOR'S CREEK,CS ARMY OF NORTHERN VIRGINIA (ELMS),Confederacy,EWELL,http://en.wikipedia.org/wiki/Richard_S._Ewell
468,219,0,AMERICAN CIVIL WAR,SAYLOR'S CREEK,CS ARMY OF NORTHERN VIRGINIA (ELMS),Confederacy,ANDERSON,
469,219,1,AMERICAN CIVIL WAR,SAYLOR'S CREEK,US VI CORPS(+),USA,SHERIDAN,http://en.wikipedia.org/wiki/Philip_Sheridan
470,219,1,AMERICAN CIVIL WAR,SAYLOR'S CREEK,US VI CORPS(+),USA,WRIGHT,
471,220,0,FRANCO-PRUSSIAN WAR,WEISSENBURG,FR I CORPS (-),France,DOUAY,http://en.wikipedia.org/wiki/Abel_Douay
472,220,1,FRANCO-PRUSSIAN WAR,WEISSENBURG,GER 3RD ARMY,Germany,FRIEDRICH WILHELM,"http://en.wikipedia.org/wiki/Frederick_III,_German_Emperor"
473,221,0,FRANCO-PRUSSIAN WAR,FROESCHWILLER,FR ARMY OF ALSACE,France,MACMAHON,http://en.wikipedia.org/wiki/Patrice_de_Mac-Mahon
474,221,1,FRANCO-PRUSSIAN WAR,FROESCHWILLER,GER 3RD ARMY,Germany,FRIEDRICH WILHELM,"http://en.wikipedia.org/wiki/Frederick_III,_German_Emperor"
475,222,0,FRANCO-PRUSSIAN WAR,SPICHERN,FR 2ND CORPS,France,FROSSARD,http://en.wikipedia.org/wiki/Charles_Auguste_Frossard
476,222,1,FRANCO-PRUSSIAN WAR,SPICHERN,GER 1ST ARMY(+),Germany,STEINMETZ,http://en.wikipedia.org/wiki/Karl_Friedrich_von_Steinmetz
477,223,0,FRANCO-PRUSSIAN WAR,MARS LA TOUR,FR ARMY OF LORRAINE,France,BAZAINE,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Achille_Bazaine
478,223,1,FRANCO-PRUSSIAN WAR,MARS LA TOUR,GER 1ST & 2ND ARMIES,Germany,MOLTKE,http://en.wikipedia.org/wiki/Helmuth_Karl_Bernhard_von_Moltke
479,224,0,FRANCO-PRUSSIAN WAR,GRAVELOTTE-ST. PRIVAT,FR ARMY OF LORRAINE,France,BAZAINE,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Achille_Bazaine
480,224,1,FRANCO-PRUSSIAN WAR,GRAVELOTTE-ST. PRIVAT,GER 1ST & 2ND ARMIES,Germany,MOLTKE,http://en.wikipedia.org/wiki/Helmuth_Karl_Bernhard_von_Moltke
481,225,0,FRANCO-PRUSSIAN WAR,SEDAN,FR ARMY OF ALSACE,France,MACMAHON (WIMPFEN),"http://en.wikipedia.org/wiki/Patrice_de_Mac-Mahon,_duc_de_Magenta"
482,225,1,FRANCO-PRUSSIAN WAR,SEDAN,GER 2ND & 3RD ARMIES,Germany,MOLTKE,http://en.wikipedia.org/wiki/Helmuth_Karl_Bernhard_von_Moltke
483,226,0,FRANCO-PRUSSIAN WAR,COULMIERS,BAV I CORPS,Germany,VON DER TANN,http://en.wikipedia.org/wiki/Ludwig_Freiherr_von_und_zu_der_Tann-Rathsamhausen
